Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.15,3.5,0.0,,,0.0
0.9,3.8,1.0,,,1.0
1.15,4.1,2.0,,,2.0
1.4,4.3,3.0,,,3.0
1.25,4.5,4.0,,,4.0
1.35,4.6,5.0,,,5.0
1.58,4.7,6.0,,,6.0
1.86,4.7,7.0,,,7.0
2.1,4.8,8.0,,,8.0
2.29,4.9,9.0,,,9.0
2.46,4.9,10.0,,,10.0
2.67,5.0,11.0,,,11.0
2.91,5.1,12.0,,,12.0
3.2,5.2,13.0,,,13.0
3.6,5.2,14.0,,,14.0
4.0,5.3,15.0,,,15.0
4.25,5.4,16.0,,,16.0
4.47,5.4,17.0,,,17.0
4.75,5.5,18.0,,,18.0
5.27,6.6,19.0,,,19.0
5.48,6.8,20.0,,,20.0
5.52,6.9,21.0,,,21.0
5.68,7.0,21.5,,,21.5
5.92,7.4,22.0,,,22.0
6.1,8.0,22.5,,,22.5
6.28,8.8,23.0,,,23.0
6.51,9.6,23.5,,,23.5
6.69,10.4,24.0,,,24.0
6.77,11.3,24.5,,,24.5
6.83,11.8,25.0,,,25.0
6.95,12.0,25.5,,,25.5
7.21,12.3,26.5,,,26.5
7.35,12.5,27.5,,,27.5
7.54,12.6,28.5,,,28.5
7.84,12.7,29.5,,,29.5
8.12,12.8,30.5,,,30.5
8.31,12.8,31.5,,,31.5
,3.7,0.5,,,
,4.0,1.5,,,
,4.2,2.5,,,
,4.4,3.5,,,
,4.5,4.5,,,
,4.6,5.5,,,
,4.7,6.5,,,
,4.8,7.5,,,
,4.8,8.5,,,
,4.9,9.5,,,
,5.0,10.5,,,
,5.0,11.5,,,
,5.1,12.5,,,
,5.2,13.5,,,
,5.3,14.5,,,
,5.3,15.5,,,
,5.4,16.5,,,
,5.5,17.5,,,
,5.6,18.5,,,
,6.8,19.5,,,
,6.8,20.5,,,
,,,,,0.5
,,,,,1.5
,,,,,2.5
,,,,,3.5
,,,,,4.5
,,,,,5.5
,,,,,6.5
,,,,,7.5
,,,,,8.5
,,,,,9.5
,,,,,10.5
,,,,,11.5
,,,,,12.5
,,,,,13.5
,,,,,14.5
,,,,,15.5
,,,,,16.5
,,,,,17.5
,,,,,18.5
,,,,,19.5
,,,,,20.5
