Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.2,26.0,0.0,0.0,3.2,26.3,0.0,0.0,3.3,26.3,0.0
0.02,3.2,26.0,,0.02,3.2,26.3,,0.02,3.3,26.3,
0.03,3.2,26.0,,0.03,3.2,26.3,,0.03,3.3,26.2,
0.05,3.2,26.0,,0.05,3.2,26.3,,0.05,3.3,26.2,
0.07,3.2,26.0,,0.07,3.2,26.3,,0.07,3.3,26.2,
0.08,3.2,26.0,,0.08,3.2,26.3,,0.08,3.3,26.2,
0.1,3.2,26.0,,0.1,3.2,26.3,,0.1,3.3,26.2,
0.12,3.2,26.0,,0.12,3.2,26.3,,0.12,3.3,26.2,
0.13,3.2,26.0,,0.13,3.2,26.3,,0.13,3.3,26.2,
0.15,3.2,26.0,,0.15,3.2,26.3,,0.15,3.3,26.2,
0.17,3.2,26.0,,0.17,3.2,26.3,,0.17,3.3,26.2,
0.18,3.2,26.0,,0.18,3.2,26.3,,0.18,3.3,26.2,
0.2,3.2,26.0,,0.2,3.2,26.3,,0.2,3.3,26.2,
0.22,3.2,26.0,,0.22,3.2,26.3,,0.22,3.3,26.2,
0.23,3.2,26.0,,0.23,3.2,26.3,,0.23,3.3,26.2,
0.25,3.2,26.0,,0.25,3.2,26.3,,0.25,3.3,26.2,
0.27,3.2,26.0,,0.27,3.2,26.3,,0.27,3.3,26.2,
0.28,3.2,26.0,,0.28,3.2,26.3,,0.28,3.3,26.2,
0.3,3.2,26.0,,0.3,3.2,26.3,,0.3,3.3,26.2,
0.32,3.2,26.0,,0.32,3.2,26.3,,0.32,3.3,26.2,
0.33,3.2,26.0,,0.33,3.2,26.3,,0.33,3.3,26.2,
0.35,3.2,26.0,,0.35,3.2,26.3,,0.35,3.3,26.2,
0.37,3.2,26.0,,0.37,3.2,26.3,,0.37,3.3,26.2,
0.38,3.2,26.0,,0.38,3.2,26.3,,0.38,3.3,26.2,
0.4,3.2,26.0,,0.4,3.2,26.3,,0.4,3.3,26.2,
0.42,3.2,26.0,,0.42,3.2,26.3,,0.42,3.3,26.2,
0.43,3.2,26.0,,0.43,3.2,26.3,,0.43,3.3,26.2,
0.45,3.2,26.0,,0.45,3.2,26.3,,0.45,3.3,26.2,
0.47,3.2,26.0,,0.47,3.2,26.3,,0.47,3.3,26.2,
0.48,3.2,26.0,,0.48,3.2,26.3,,0.48,3.3,26.2,
0.5,3.2,26.0,,0.5,3.2,26.3,,0.5,3.3,26.2,
0.52,3.2,26.0,,0.52,3.2,26.3,,0.52,3.3,26.2,
0.53,3.3,26.0,,0.53,3.3,26.3,,0.53,3.3,26.2,
0.55,3.3,26.0,,0.55,3.3,26.3,,0.55,3.3,26.2,
0.57,3.3,26.0,,0.57,3.3,26.3,,0.57,3.3,26.2,
0.58,3.4,26.0,,0.58,3.4,26.3,,0.58,3.3,26.2,
0.6,3.4,26.0,0.5,0.6,3.4,26.3,0.5,0.6,3.3,26.2,
0.62,3.4,26.0,,0.62,3.4,26.3,,0.62,3.4,26.2,
0.63,3.5,26.0,,0.63,3.5,26.3,,0.63,3.4,26.2,
0.65,3.5,26.0,,0.65,3.5,26.3,,0.65,3.4,26.2,
0.67,3.5,26.0,,0.67,3.5,26.3,,0.67,3.4,26.2,
0.68,3.5,26.0,,0.68,3.5,26.3,,0.68,3.5,26.2,0.5
0.7,3.6,26.0,1.0,0.7,3.6,26.3,1.0,0.7,3.5,26.2,
0.72,3.6,26.0,,0.72,3.6,26.3,,0.72,3.5,26.2,
0.73,3.6,26.0,,0.73,3.6,26.3,,0.73,3.5,26.2,
0.75,3.6,26.0,,0.75,3.6,26.3,,0.75,3.5,26.2,
0.77,3.7,26.0,,0.77,3.7,26.3,,0.77,3.6,26.2,
0.78,3.7,26.0,,0.78,3.7,26.3,,0.78,3.6,26.2,
0.8,3.7,26.0,,0.8,3.7,26.3,,0.8,3.6,26.2,
0.82,3.7,26.0,,0.82,3.7,26.3,,0.82,3.6,26.2,
0.83,3.7,26.0,1.5,0.83,3.7,26.3,1.5,0.83,3.6,26.2,1.0
0.85,3.8,26.0,,0.85,3.8,26.3,,0.85,3.6,26.2,
0.87,3.8,26.0,,0.87,3.8,26.3,,0.87,3.6,26.2,
0.88,3.8,26.0,,0.88,3.8,26.3,,0.88,3.7,26.2,
0.9,3.8,26.0,,0.9,3.8,26.3,,0.9,3.7,26.2,
0.92,3.8,26.0,,0.92,3.8,26.3,,0.92,3.7,26.2,
0.93,3.8,26.0,,0.93,3.8,26.3,,0.93,3.7,26.2,
0.95,3.9,26.0,,0.95,3.9,26.3,,0.95,3.7,26.2,
0.97,3.9,26.0,2.0,0.97,3.9,26.3,2.0,0.97,3.7,26.2,
0.98,3.9,26.0,,0.98,3.9,26.3,,0.98,3.7,26.2,
1.0,3.9,26.0,,1.0,3.9,26.3,,1.0,3.7,26.2,
1.02,3.9,26.0,,1.02,3.9,26.3,,1.02,3.8,26.2,
1.03,3.9,26.0,,1.03,3.9,26.3,,1.03,3.8,26.2,
1.05,3.9,26.0,,1.05,3.9,26.3,,1.05,3.8,26.2,1.5
1.07,3.9,26.0,,1.07,3.9,26.3,,1.07,3.8,26.2,
1.08,4.0,26.0,,1.08,4.0,26.3,,1.08,3.8,26.2,
1.1,4.0,26.0,2.5,1.1,4.0,26.3,2.5,1.1,3.8,26.2,
1.12,4.0,26.0,,1.12,4.0,26.3,,1.12,3.8,26.2,
1.13,4.0,26.0,,1.13,4.0,26.3,,1.13,3.8,26.2,
1.15,4.0,26.1,,1.15,4.0,26.3,,1.15,3.8,26.2,
1.17,4.0,26.1,,1.17,4.0,26.3,,1.17,3.9,26.2,
1.18,4.0,26.1,,1.18,4.0,26.3,,1.18,3.9,26.2,
1.2,4.0,26.0,,1.2,4.0,26.3,,1.2,3.9,26.2,
1.22,4.1,26.1,3.0,1.22,4.1,26.3,3.0,1.22,3.9,26.2,
1.23,4.1,26.1,,1.23,4.1,26.4,,1.23,3.9,26.2,
1.25,4.1,26.1,,1.25,4.1,26.4,,1.25,3.9,26.2,
1.27,4.1,26.1,,1.27,4.1,26.4,,1.27,3.9,26.2,
1.28,4.1,26.1,,1.28,4.1,26.4,,1.28,3.9,26.2,
1.3,4.1,26.1,,1.3,4.1,26.4,,1.3,3.9,26.2,
1.32,4.1,26.1,,1.32,4.1,26.4,,1.32,3.9,26.2,
1.33,4.1,26.1,3.5,1.33,4.1,26.4,3.5,1.33,4.0,26.2,2.0
1.35,4.1,26.1,,1.35,4.1,26.4,,1.35,4.0,26.2,
1.37,4.2,26.1,,1.37,4.2,26.4,,1.37,4.0,26.2,
1.38,4.2,26.1,,1.38,4.2,26.4,,1.38,4.0,26.2,
1.4,4.2,26.1,,1.4,4.2,26.4,,1.4,4.0,26.2,
1.42,4.2,26.1,,1.42,4.2,26.4,,1.42,4.0,26.2,
1.43,4.2,26.1,,1.43,4.2,26.4,,1.43,4.0,26.2,
1.45,4.2,26.1,,1.45,4.2,26.4,,1.45,4.0,26.2,
1.47,4.2,26.1,,1.47,4.2,26.4,,1.47,4.0,26.2,
1.48,4.2,26.1,,1.48,4.2,26.4,,1.48,4.0,26.2,2.5
1.5,4.2,26.1,4.0,1.5,4.2,26.4,4.0,1.5,4.0,26.2,
1.52,4.2,26.1,,1.52,4.2,26.4,,1.52,4.1,26.2,
1.53,4.2,26.1,,1.53,4.2,26.4,,1.53,4.1,26.2,
1.55,4.2,26.1,,1.55,4.2,26.4,,1.55,4.1,26.2,
1.57,4.3,26.1,,1.57,4.3,26.4,,1.57,4.1,26.2,
1.58,4.3,26.1,,1.58,4.3,26.4,,1.58,4.1,26.2,
1.6,4.3,26.1,,1.6,4.3,26.4,,1.6,4.1,26.2,
1.62,4.3,26.1,,1.62,4.3,26.4,,1.62,4.1,26.2,3.0
1.63,4.3,26.1,4.5,1.63,4.3,26.4,4.5,1.63,4.1,26.2,
1.65,4.3,26.1,,1.65,4.3,26.4,,1.65,4.1,26.2,
1.67,4.3,26.1,,1.67,4.3,26.4,,1.67,4.1,26.2,
1.68,4.3,26.1,,1.68,4.3,26.4,,1.68,4.1,26.2,
1.7,4.3,26.1,,1.7,4.3,26.4,,1.7,4.1,26.2,
1.72,4.3,26.1,,1.72,4.3,26.4,,1.72,4.2,26.2,
1.73,4.3,26.1,,1.73,4.3,26.4,,1.73,4.2,26.2,
1.75,4.3,26.1,,1.75,4.3,26.4,,1.75,4.2,26.2,
1.77,4.3,26.1,,1.77,4.3,26.4,,1.77,4.2,26.2,
1.78,4.4,26.1,5.0,1.78,4.4,26.4,5.0,1.78,4.2,26.2,
1.8,4.4,26.1,,1.8,4.4,26.4,,1.8,4.2,26.2,3.5
1.82,4.4,26.1,,1.82,4.4,26.4,,1.82,4.2,26.2,
1.83,4.4,26.1,,1.83,4.4,26.4,,1.83,4.2,26.2,
1.85,4.4,26.1,,1.85,4.4,26.4,,1.85,4.2,26.2,
1.87,4.4,26.1,,1.87,4.4,26.4,,1.87,4.2,26.2,
1.88,4.4,26.1,,1.88,4.4,26.4,,1.88,4.2,26.2,
1.9,4.4,26.1,,1.9,4.4,26.4,,1.9,4.2,26.2,
1.92,4.4,26.1,,1.92,4.4,26.4,,1.92,4.2,26.2,
1.93,4.4,26.1,5.5,1.93,4.4,26.4,5.5,1.93,4.3,26.2,
1.95,4.4,26.1,,1.95,4.4,26.4,,1.95,4.3,26.2,
1.97,4.4,26.1,,1.97,4.4,26.4,,1.97,4.3,26.2,4.0
1.98,4.4,26.1,,1.98,4.4,26.4,,1.98,4.3,26.2,
2.0,4.4,26.1,,2.0,4.4,26.4,,2.0,4.3,26.2,
2.02,4.4,26.1,,2.02,4.4,26.4,,2.02,4.3,26.2,
2.03,4.5,26.1,,2.03,4.5,26.4,,2.03,4.3,26.2,
