Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
1.88,4.5,26.3,4.5,1.88,4.8,26.5,6.5
1.9,4.5,26.3,,1.9,4.8,26.5,
1.92,4.5,26.3,,1.92,4.8,26.5,
1.93,4.5,26.3,,1.93,4.8,26.5,
1.95,4.5,26.3,,1.95,4.8,26.5,
1.97,4.5,26.3,,1.97,4.8,26.5,
1.98,4.5,26.3,,1.98,4.8,26.5,
2.0,4.6,26.3,,2.0,4.8,26.5,
2.02,4.6,26.3,,2.02,4.8,26.5,
2.03,4.6,26.3,,2.03,4.8,26.5,7.0
2.05,4.6,26.3,,2.05,4.8,26.5,
2.07,4.6,26.3,5.0,2.07,4.8,26.5,
2.08,4.6,26.3,,2.08,4.8,26.5,
2.1,4.6,26.3,,2.1,4.8,26.5,
2.12,4.6,26.3,,2.12,4.8,26.5,
2.13,4.6,26.3,,2.13,4.8,26.5,
2.15,4.6,26.3,,2.15,4.8,26.5,
2.17,4.6,26.3,,2.17,4.9,26.5,7.5
2.18,4.6,26.3,,2.18,4.9,26.5,
2.2,4.6,26.3,,2.2,4.9,26.5,
2.22,4.6,26.3,,2.22,4.9,26.5,
2.23,4.6,26.3,,2.23,4.9,26.6,
2.25,4.6,26.3,,2.25,4.9,26.6,
2.27,4.6,26.3,,2.27,4.9,26.6,
2.28,4.6,26.3,5.5,2.28,4.9,26.6,8.0
2.3,4.6,26.3,,2.3,4.9,26.6,
2.32,4.6,26.3,,2.32,4.9,26.6,
2.33,4.6,26.3,,2.33,4.9,26.6,
2.35,4.7,26.3,,2.35,4.9,26.6,
2.37,4.7,26.3,,2.37,4.9,26.6,
2.38,4.7,26.3,,2.38,4.9,26.6,
2.4,4.7,26.3,,2.4,4.9,26.6,
2.42,4.7,26.3,,2.42,4.9,26.6,
2.43,4.7,26.3,6.0,2.43,4.9,26.6,
2.45,4.7,26.3,,2.45,4.9,26.6,
2.47,4.7,26.3,,2.47,4.9,26.6,8.5
2.48,4.7,26.3,,2.48,5.0,26.6,
2.5,4.7,26.3,,2.5,5.0,26.6,
2.52,4.7,26.4,,2.52,5.0,26.6,
2.53,4.7,26.4,,2.53,5.0,26.6,
2.55,4.7,26.4,,2.55,5.0,26.6,
2.57,4.7,26.4,,2.57,5.0,26.6,
2.58,4.7,26.4,6.5,2.58,5.0,26.6,9.0
2.6,4.7,26.4,,2.6,5.0,26.6,
2.62,4.7,26.4,,2.62,5.0,26.6,
2.63,4.7,26.4,,2.63,5.0,26.6,
2.65,4.7,26.4,,2.65,5.0,26.6,
2.67,4.7,26.4,,2.67,5.0,26.6,
2.68,4.8,26.4,,2.68,5.0,26.6,
2.7,4.8,26.4,,2.7,5.0,26.6,
2.72,4.8,26.4,,2.72,5.0,26.6,9.5
2.73,4.8,26.4,7.0,2.73,5.0,26.6,
2.75,4.8,26.4,,2.75,5.0,26.6,
2.77,4.8,26.4,,2.77,5.0,26.6,
2.78,4.8,26.4,,2.78,5.0,26.6,
2.8,4.8,26.4,,2.8,5.0,26.6,
2.82,4.8,26.4,,2.82,5.0,26.6,
2.83,4.8,26.4,,2.83,5.0,26.6,
2.85,4.8,26.4,,2.85,5.1,26.6,
2.87,4.8,26.4,,2.87,5.1,26.6,
2.88,4.8,26.4,,2.88,5.1,26.6,10.0
2.9,4.8,26.4,7.5,2.9,5.1,26.6,
2.92,4.8,26.4,,2.92,5.1,26.6,
2.93,4.8,26.4,,2.93,5.1,26.6,
2.95,4.8,26.4,,2.95,5.1,26.6,
2.97,4.8,26.4,,2.97,5.1,26.6,
2.98,4.8,26.4,,2.98,5.1,26.6,
3.0,4.8,26.4,,3.0,5.1,26.6,
3.02,4.8,26.4,,3.02,5.1,26.6,
3.03,4.8,26.4,,3.03,5.1,26.6,
3.05,4.8,26.4,,3.05,5.1,26.6,
3.07,4.8,26.4,,3.07,5.1,26.6,11.0
3.08,4.9,26.4,,3.08,5.1,26.6,
3.1,4.9,26.4,8.0,3.1,5.1,26.6,
3.12,4.9,26.4,,3.12,5.1,26.6,
3.13,4.9,26.4,,3.13,5.1,26.6,
3.15,4.9,26.4,,3.15,5.1,26.6,
3.17,4.9,26.4,,3.17,5.1,26.6,
3.18,4.9,26.4,,3.18,5.1,26.6,
3.2,4.9,26.4,,3.2,5.1,26.6,
3.22,4.9,26.4,,3.22,5.2,26.6,
3.23,4.9,26.4,,3.23,5.2,26.6,
3.25,4.9,26.4,,3.25,5.2,26.6,
3.27,4.9,26.4,,3.27,5.2,26.6,
3.28,4.9,26.4,,3.28,5.2,26.6,
3.3,4.9,26.4,8.5,3.3,5.2,26.6,
3.32,4.9,26.4,,3.32,5.2,26.6,
3.33,4.9,26.4,,3.33,5.2,26.6,
3.35,4.9,26.4,,3.35,5.2,26.6,
3.37,4.9,26.4,,3.37,5.2,26.6,
3.38,4.9,26.4,,3.38,5.2,26.7,12.0
3.4,4.9,26.4,,3.4,5.2,26.7,
3.42,4.9,26.4,,3.42,5.2,26.7,
3.43,4.9,26.4,9.0,3.43,5.2,26.7,
3.45,4.9,26.4,,3.45,5.2,26.7,
3.47,4.9,26.4,,3.47,5.2,26.7,
3.48,4.9,26.4,,3.48,5.2,26.7,
3.5,5.0,26.4,,3.5,5.2,26.7,
3.52,5.0,26.4,,3.52,5.2,26.7,
3.53,5.0,26.4,,3.53,5.2,26.7,12.5
3.55,5.0,26.4,,3.55,5.2,26.7,
3.57,5.0,26.4,,3.57,5.2,26.7,
3.58,5.0,26.4,,3.58,5.2,26.7,
3.6,5.0,26.4,,3.6,5.2,26.7,
3.62,5.0,26.4,9.5,3.62,5.3,26.7,
3.63,5.0,26.4,,3.63,5.3,26.7,
3.65,5.0,26.4,,3.65,5.3,26.7,13.0
3.67,5.0,26.4,,3.67,5.3,26.7,
3.68,5.0,26.4,,3.68,5.3,26.7,
3.7,5.0,26.4,,3.7,5.3,26.7,
3.72,5.0,26.4,,3.72,5.3,26.7,
3.73,5.0,26.4,,3.73,5.3,26.7,
3.75,5.0,26.4,,3.75,5.3,26.7,
3.77,5.0,26.4,,3.77,5.3,26.7,
3.78,5.0,26.4,,3.78,5.3,26.7,
3.8,5.0,26.4,10.0,3.8,5.3,26.7,
3.82,5.0,26.4,,3.82,5.3,26.7,13.5
3.83,5.0,26.4,,3.83,5.3,26.7,
3.85,5.0,26.4,,3.85,5.3,26.7,
3.87,5.0,26.4,,3.87,5.3,26.7,
3.88,5.0,26.4,,3.88,5.3,26.7,
3.9,5.1,26.4,,3.9,5.3,26.7,
3.92,5.1,26.4,10.5,3.92,5.3,26.7,
3.93,5.1,26.4,,3.93,5.3,26.7,
3.95,5.1,26.4,,3.95,5.3,26.7,
3.97,5.1,26.4,,3.97,5.3,26.7,
3.98,5.1,26.4,,3.98,5.3,26.7,14.0
4.0,5.1,26.4,,4.0,5.3,26.7,
4.02,5.1,26.4,,4.02,5.3,26.7,
4.03,5.1,26.4,,4.03,5.3,26.7,
4.05,5.1,26.4,,4.05,5.4,26.7,
4.07,5.1,26.4,,4.07,5.4,26.7,
4.08,5.1,26.4,11.0,4.08,5.4,26.7,
4.1,5.1,26.4,,4.1,5.4,26.7,
4.12,5.1,26.4,,4.12,5.4,26.7,
4.13,5.1,26.4,,4.13,5.4,26.7,
4.15,5.1,26.4,,4.15,5.4,26.7,14.5
4.17,5.1,26.4,,4.17,5.4,26.7,
4.18,5.1,26.4,,4.18,5.4,26.7,
4.2,5.1,26.4,,4.2,5.4,26.7,
4.22,5.1,26.4,,4.22,5.4,26.7,
4.23,5.1,26.4,,4.23,5.4,26.7,
4.25,5.1,26.4,,4.25,5.4,26.7,
4.27,5.1,26.4,11.5,4.27,5.4,26.7,
4.28,5.1,26.4,,4.28,5.4,26.7,
4.3,5.1,26.4,,4.3,5.4,26.7,
4.32,5.1,26.4,,4.32,5.4,26.7,
4.33,5.1,26.4,,4.33,5.4,26.7,15.0
4.35,5.2,26.4,,4.35,5.4,26.7,
4.37,5.2,26.4,,4.37,5.4,26.7,
4.38,5.2,26.4,,4.38,5.4,26.7,
4.4,5.2,26.4,,4.4,5.4,26.7,
4.42,5.2,26.4,12.0,4.42,5.4,26.7,
4.43,5.2,26.4,,4.43,5.4,26.7,
4.45,5.2,26.5,,4.45,5.5,26.7,
4.47,5.2,26.5,,4.47,5.5,26.7,
4.48,5.2,26.5,,4.48,5.5,26.7,
4.5,5.2,26.5,,4.5,5.5,26.7,
4.52,5.2,26.5,,4.52,5.5,26.7,15.5
4.53,5.2,26.5,,4.53,5.5,26.7,
4.55,5.2,26.5,,4.55,5.5,26.7,
4.57,5.2,26.5,,4.57,5.5,26.7,
4.58,5.2,26.5,,4.58,5.5,26.7,
4.6,5.2,26.5,12.5,4.6,5.5,26.7,
4.62,5.2,26.5,,4.62,5.5,26.7,
4.63,5.2,26.5,,4.63,5.5,26.7,
4.65,5.2,26.5,,4.65,5.5,26.7,
4.67,5.2,26.5,,4.67,5.5,26.7,16.0
4.68,5.2,26.5,,4.68,5.5,26.7,
4.7,5.2,26.5,,4.7,5.5,26.7,
4.72,5.2,26.5,,4.72,5.5,26.7,
4.73,5.2,26.5,,4.73,5.5,26.7,
4.75,5.2,26.5,,4.75,5.5,26.7,
4.77,5.3,26.5,,4.77,5.5,26.7,
4.78,5.3,26.5,13.0,4.78,5.5,26.7,16.5
4.8,5.3,26.5,,4.8,5.5,26.7,
4.82,5.3,26.5,,4.82,5.5,26.7,
4.83,5.3,26.5,,4.83,5.5,26.7,
4.85,5.3,26.5,,4.85,5.5,26.7,
4.87,5.3,26.5,,4.87,5.6,26.7,
4.88,5.3,26.5,,4.88,5.6,26.7,
4.9,5.3,26.5,,4.9,5.6,26.7,
4.92,5.3,26.5,13.5,4.92,5.6,26.7,
4.93,5.3,26.5,,4.93,5.6,26.7,
4.95,5.3,26.5,,4.95,5.6,26.7,
4.97,5.3,26.5,,4.97,5.6,26.7,
4.98,5.3,26.5,,4.98,5.6,26.7,17.0
5.0,5.3,26.5,,5.0,5.6,26.7,
5.02,5.3,26.5,,5.02,5.6,26.7,
5.03,5.3,26.5,,5.03,5.6,26.7,
5.05,5.3,26.5,,5.05,5.6,26.7,
5.07,5.3,26.5,,5.07,5.6,26.7,
5.08,5.3,26.5,14.0,5.08,5.6,26.7,
5.1,5.3,26.5,,5.1,5.6,26.7,
5.12,5.3,26.5,,5.12,5.6,26.7,
5.13,5.3,26.5,,5.13,5.6,26.7,
5.15,5.3,26.5,,5.15,5.6,26.7,17.5
5.17,5.3,26.5,,5.17,5.6,26.7,
5.18,5.3,26.5,,5.18,5.6,26.7,
5.2,5.4,26.5,,5.2,5.6,26.7,
5.22,5.4,26.5,,5.22,5.6,26.7,
5.23,5.4,26.5,14.5,5.23,5.6,26.7,
5.25,5.4,26.5,,5.25,5.7,26.7,
5.27,5.4,26.5,,5.27,5.7,26.7,
5.28,5.4,26.5,,5.28,5.7,26.7,
5.3,5.4,26.5,,5.3,5.7,26.7,
5.32,5.4,26.5,,5.32,5.7,26.7,
5.33,5.4,26.5,,5.33,5.7,26.7,
5.35,5.4,26.5,,5.35,5.7,26.7,18.0
5.37,5.4,26.5,,5.37,5.7,26.7,
5.38,5.4,26.5,15.0,5.38,5.7,26.7,
5.4,5.4,26.5,,5.4,5.7,26.7,
5.42,5.4,26.5,,5.42,5.7,26.7,
5.43,5.4,26.5,,5.43,5.7,26.7,
5.45,5.4,26.5,,5.45,5.7,26.7,
5.47,5.4,26.5,,5.47,5.7,26.7,
5.48,5.4,26.5,,5.48,5.7,26.7,
5.5,5.4,26.5,15.5,5.5,5.7,26.7,
5.52,5.4,26.5,,5.52,5.7,26.7,18.5
5.53,5.4,26.5,,5.53,5.7,26.7,
5.55,5.4,26.5,,5.55,5.7,26.7,
5.57,5.4,26.5,,5.57,5.7,26.7,
5.58,5.5,26.5,,5.58,5.7,26.7,
5.6,5.5,26.5,,5.6,5.7,26.7,
5.62,5.5,26.5,,5.62,5.8,26.7,
5.63,5.5,26.5,,5.63,5.8,26.7,
5.65,5.5,26.5,,5.65,5.8,26.7,
5.67,5.5,26.5,,5.67,5.8,26.7,19.0
5.68,5.5,26.5,,5.68,5.8,26.7,
5.7,5.5,26.5,16.0,5.7,5.8,26.7,
5.72,5.5,26.5,,5.72,5.8,26.7,
5.73,5.5,26.5,,5.73,5.8,26.7,
5.75,5.5,26.5,,5.75,5.8,26.7,
5.77,5.5,26.5,,5.77,5.8,26.7,
5.78,5.5,26.5,,5.78,5.8,26.7,
5.8,5.5,26.5,,5.8,5.8,26.7,19.5
5.82,5.5,26.5,,5.82,5.8,26.7,
5.83,5.5,26.5,,5.83,5.8,26.7,
5.85,5.5,26.5,,5.85,5.8,26.7,
5.87,5.5,26.5,,5.87,5.8,26.7,
5.88,5.5,26.5,16.5,5.88,5.8,26.7,
5.9,5.5,26.5,,5.9,5.8,26.7,
5.92,5.6,26.5,,5.92,5.8,26.7,
5.93,5.6,26.5,,5.93,5.8,26.7,
5.95,5.6,26.5,,5.95,5.9,26.7,
5.97,5.6,26.5,,5.97,5.9,26.7,
5.98,5.6,26.5,,5.98,5.9,26.7,20.0
6.0,5.6,26.5,,6.0,5.9,26.7,
6.02,5.6,26.5,17.0,6.02,5.9,26.7,
6.03,5.6,26.5,,6.03,5.9,26.7,
6.05,5.6,26.5,,6.05,5.9,26.7,
6.07,5.6,26.5,,6.07,5.9,26.7,
6.08,5.6,26.5,,6.08,5.9,26.7,
6.1,5.6,26.5,,6.1,5.9,26.8,
6.12,5.6,26.5,,6.12,5.9,26.8,
6.13,5.6,26.5,,6.13,5.9,26.8,
6.15,5.6,26.5,17.5,6.15,5.9,26.8,
6.17,5.6,26.5,,6.17,5.9,26.8,
6.18,5.6,26.5,,6.18,5.9,26.8,
6.2,5.6,26.5,,6.2,5.9,26.8,20.5
6.22,5.7,26.5,,6.22,6.0,26.7,
6.23,5.7,26.5,,6.23,6.0,26.8,
6.25,5.7,26.5,,6.25,6.0,26.8,
6.27,5.7,26.5,18.0,6.27,6.0,26.8,
6.28,5.7,26.5,,6.28,6.0,26.8,
6.3,5.7,26.5,,6.3,6.0,26.8,
6.32,5.7,26.5,,6.32,6.0,26.8,
6.33,5.7,26.5,,6.33,6.0,26.8,
6.35,5.7,26.5,18.2,6.35,6.0,26.8,21.0
6.37,5.7,26.5,,6.37,6.0,26.8,
6.38,5.7,26.5,,6.38,6.0,26.8,
6.4,5.7,26.5,,6.4,6.0,26.8,
6.42,5.7,26.5,,6.42,6.0,26.8,
6.43,5.7,26.5,18.5,6.43,6.0,26.8,
6.45,5.7,26.5,,6.45,6.1,26.8,
6.47,5.7,26.5,,6.47,6.1,26.8,
6.48,5.7,26.5,,6.48,6.1,26.8,
6.5,5.8,26.5,18.7,6.5,6.1,26.8,
6.52,5.8,26.5,,6.52,6.1,26.8,21.5
6.53,5.8,26.5,,6.53,6.1,26.8,
6.55,5.8,26.5,,6.55,6.1,26.8,
6.57,5.8,26.5,19.0,6.57,6.1,26.8,
6.58,5.8,26.5,,6.58,6.1,26.8,
6.6,5.8,26.5,,6.6,6.1,26.8,
6.62,5.8,26.5,,6.62,6.1,26.8,
6.63,5.8,26.5,19.2,6.63,6.1,26.8,21.7
6.65,5.8,26.5,,6.65,6.1,26.8,
6.67,5.8,26.5,,6.67,6.2,26.8,
6.68,5.8,26.5,,6.68,6.2,26.8,
6.7,5.8,26.5,19.5,6.7,6.2,26.8,
6.72,5.8,26.5,,6.72,6.2,26.8,
6.73,5.8,26.5,,6.73,6.2,26.8,22.0
6.75,5.9,26.5,,6.75,6.2,26.8,
6.77,5.9,26.5,19.7,6.77,6.2,26.8,
6.78,5.9,26.5,,6.78,6.2,26.8,
6.8,5.9,26.5,,6.8,6.2,26.8,
6.82,5.9,26.5,,6.82,6.2,26.8,
6.83,5.9,26.5,,6.83,6.2,26.8,22.2
6.85,5.9,26.5,20.0,6.85,6.3,26.8,
6.87,5.9,26.5,,6.87,6.3,26.8,
6.88,5.9,26.5,,6.88,6.3,26.8,
6.9,5.9,26.5,20.2,6.9,6.3,26.8,
6.92,5.9,26.5,,6.92,6.3,26.8,22.5
6.93,5.9,26.5,,6.93,6.3,26.8,
6.95,5.9,26.5,,6.95,6.3,26.8,
6.97,6.0,26.5,,6.97,6.3,26.8,
6.98,6.0,26.5,20.5,6.98,6.3,26.8,
7.0,6.0,26.5,,7.0,6.3,26.8,
7.02,6.0,26.5,,7.02,6.4,26.8,
7.03,6.0,26.5,,7.03,6.4,26.8,
7.05,6.0,26.5,20.7,7.05,6.4,26.8,
7.07,6.0,26.5,,7.07,6.4,26.8,
7.08,6.0,26.5,,7.08,6.4,26.8,
7.1,6.0,26.5,,7.1,6.4,26.8,
7.12,6.0,26.5,,7.12,6.4,26.8,23.0
7.13,6.0,26.5,21.0,7.13,6.4,26.8,
7.15,6.1,26.5,,7.15,6.5,26.8,
7.17,6.1,26.5,,7.17,6.5,26.8,
7.18,6.1,26.5,,7.18,6.5,26.8,
7.2,6.1,26.5,21.5,7.2,6.5,26.8,
7.22,6.1,26.5,,7.22,6.5,26.8,
7.23,6.1,26.5,,7.23,6.5,26.8,
7.25,6.1,26.5,,7.25,6.5,26.8,
7.27,6.1,26.5,,7.27,6.5,26.8,23.2
7.28,6.1,26.5,,7.28,6.6,26.8,
7.3,6.1,26.5,,7.3,6.6,26.8,
7.32,6.2,26.5,,7.32,6.6,26.8,
7.33,6.2,26.5,,7.33,6.6,26.8,
7.35,6.2,26.5,,7.35,6.6,26.8,
7.37,6.2,26.5,,7.37,6.6,26.8,
7.38,6.2,26.5,,7.38,6.7,26.8,23.5
7.4,6.2,26.5,22.0,7.4,6.7,26.8,
7.42,6.2,26.5,,7.42,6.7,26.8,
7.43,6.2,26.5,,7.43,6.7,26.8,
7.45,6.2,26.5,,7.45,6.7,26.8,
7.47,6.3,26.5,,7.47,6.8,26.8,23.7
7.48,6.3,26.5,,7.48,6.8,26.8,
7.5,6.3,26.5,22.2,7.5,6.8,26.8,
7.52,6.3,26.5,,7.52,6.8,26.8,
7.53,6.3,26.5,,7.53,6.8,26.8,
7.55,6.3,26.5,,7.55,6.9,26.8,24.0
7.57,6.3,26.5,,7.57,6.9,26.8,
7.58,6.4,26.5,,7.58,6.9,26.8,
7.6,6.4,26.5,22.5,7.6,6.9,26.8,
7.62,6.4,26.5,,7.62,6.9,26.8,
7.63,6.4,26.5,,7.63,7.0,26.8,24.2
7.65,6.4,26.5,,7.65,7.0,26.8,
7.67,6.4,26.5,,7.67,7.0,26.8,
7.68,6.4,26.5,,7.68,7.0,26.8,
7.7,6.5,26.5,22.7,7.7,7.1,26.8,
7.72,6.5,26.5,,7.72,7.1,26.8,
7.73,6.5,26.5,,7.73,7.1,26.8,
7.75,6.5,26.5,,7.75,7.1,26.8,24.5
7.77,6.5,26.5,,7.77,7.2,26.8,
7.78,6.5,26.5,,7.78,7.2,26.8,
7.8,6.6,26.5,23.0,7.8,7.2,26.8,
7.82,6.6,26.5,,7.82,7.3,26.8,
7.83,6.6,26.6,,7.83,7.3,26.8,
7.85,6.6,26.6,,7.85,7.3,26.8,24.7
7.87,6.7,26.6,23.2,7.87,7.4,26.8,
7.88,6.7,26.6,,7.88,7.4,26.8,
7.9,6.7,26.6,,7.9,7.4,26.8,
7.92,6.7,26.6,,7.92,7.5,26.8,
7.93,6.8,26.6,23.5,7.93,7.5,26.8,
7.95,6.8,26.6,,7.95,7.5,26.8,25.0
7.97,6.8,26.6,,7.97,7.6,26.8,
7.98,6.8,26.6,,7.98,7.6,26.8,
8.0,6.9,26.6,,8.0,7.6,26.8,
8.02,6.9,26.6,23.7,8.02,7.7,26.8,
8.03,6.9,26.6,,8.03,7.7,26.8,
8.05,6.9,26.6,,8.05,7.8,26.8,25.2
8.07,7.0,26.6,,8.07,7.9,26.8,
8.08,7.0,26.6,,8.08,7.9,26.8,
8.1,7.0,26.6,24.0,8.1,8.0,26.8,
8.12,7.1,26.6,,8.12,8.0,26.8,
8.13,7.1,26.6,,8.13,8.1,26.8,25.5
8.15,7.2,26.6,,8.15,8.2,26.8,
8.17,7.2,26.6,24.2,8.17,8.2,26.8,
8.18,7.2,26.6,,8.18,8.3,26.8,
8.2,7.3,26.6,,8.2,8.4,26.8,
8.22,7.3,26.6,,8.22,8.5,26.8,25.7
8.23,7.3,26.6,24.5,8.23,8.6,26.8,
8.25,7.4,26.6,,8.25,8.7,26.8,
8.27,7.4,26.6,,8.27,8.8,26.8,
8.28,7.5,26.6,,8.28,8.9,26.8,26.0
8.3,7.5,26.6,,8.3,9.1,26.8,
8.32,7.6,26.6,24.7,8.32,9.2,26.8,
8.33,7.6,26.6,,8.33,9.3,26.8,
8.35,7.7,26.6,,8.35,9.4,26.8,26.2
8.37,7.8,26.6,25.0,8.37,9.5,26.8,
8.38,7.9,26.6,,8.38,9.7,26.8,
