Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
1.23,3.8,25.2,,1.23,3.7,26.5,,1.23,3.9,26.2,
1.25,3.8,25.2,,1.25,3.7,26.5,,1.25,3.9,26.2,
1.27,3.9,25.2,,1.27,3.7,26.5,2.5,1.27,3.9,26.2,
1.28,3.9,25.2,,1.28,3.7,26.5,,1.28,3.9,26.2,
1.3,3.9,25.2,3.0,1.3,3.7,26.5,,1.3,3.9,26.2,
1.32,3.9,25.2,,1.32,3.7,26.5,,1.32,3.9,26.2,
1.33,3.9,25.2,,1.33,3.7,26.5,,1.33,3.9,26.2,
1.35,3.9,25.2,,1.35,3.7,26.5,,1.35,4.0,26.2,
1.37,3.9,25.2,,1.37,3.7,26.5,,1.37,4.0,26.2,3.5
1.38,3.9,25.2,,1.38,3.8,26.5,,1.38,4.0,26.2,
1.4,4.0,25.2,,1.4,3.8,26.5,,1.4,4.0,26.2,
1.42,4.0,25.2,,1.42,3.8,26.5,,1.42,4.0,26.2,
1.43,4.0,25.2,,1.43,3.8,26.5,,1.43,4.0,26.2,
1.45,4.0,25.2,,1.45,3.8,26.5,,1.45,4.0,26.2,
1.47,4.0,25.2,,1.47,3.8,26.5,,1.47,4.0,26.2,
1.48,4.0,25.2,,1.48,3.8,26.5,,1.48,4.0,26.2,
1.5,4.0,25.3,,1.5,3.8,26.5,,1.5,4.0,26.2,
1.52,4.0,25.3,,1.52,3.8,26.5,,1.52,4.5,26.2,4.0
1.53,4.1,25.3,,1.53,3.8,26.5,,1.53,4.5,26.2,
1.55,4.1,25.3,,1.55,3.8,26.5,3.0,1.55,4.6,26.2,
1.57,4.1,25.3,,1.57,3.8,26.5,,1.57,4.6,26.2,
1.58,4.1,25.3,,1.58,3.9,26.5,,1.58,4.6,26.2,
1.6,4.1,25.3,,1.6,3.9,26.5,,1.6,4.6,26.2,4.5
1.62,4.1,25.3,4.5,1.62,3.9,26.5,,1.62,4.6,26.2,
1.63,4.1,25.3,,1.63,3.9,26.5,,1.63,4.6,26.2,
1.65,4.1,25.3,,1.65,3.9,26.5,3.5,1.65,4.6,26.2,
1.67,4.1,25.3,,1.67,3.9,26.5,,1.67,4.6,26.2,
1.68,4.1,25.3,,1.68,3.9,26.5,,1.68,4.6,26.2,5.0
1.7,4.1,25.3,,1.7,3.9,26.5,,1.7,4.6,26.2,
1.72,4.5,25.3,5.0,1.72,3.9,26.5,,1.72,4.6,26.2,
1.73,4.5,25.3,,1.73,4.0,26.5,,1.73,4.7,26.2,
1.75,4.5,25.3,,1.75,4.0,26.5,,1.75,4.7,26.2,
1.77,4.5,25.3,,1.77,4.0,26.5,,1.77,4.7,26.2,5.5
1.78,4.5,25.3,,1.78,4.0,26.5,4.0,1.78,4.7,26.2,
1.8,4.6,25.3,5.5,1.8,4.0,26.5,,1.8,4.7,26.2,
1.82,4.6,25.3,,1.82,4.0,26.5,,1.82,4.7,26.2,
1.83,4.6,25.3,,1.83,4.0,26.5,,1.83,4.7,26.2,
1.85,4.6,25.3,,1.85,4.0,26.5,,1.85,4.7,26.2,
1.87,4.6,25.3,,1.87,4.0,26.5,,1.87,4.7,26.2,6.0
1.88,4.6,25.3,,1.88,4.0,26.5,,1.88,4.8,26.2,
1.9,4.6,25.3,6.0,1.9,4.2,26.5,4.5,1.9,4.8,26.2,
1.92,4.6,25.3,,1.92,4.2,26.5,,1.92,4.8,26.2,
1.93,4.6,25.3,,1.93,4.2,26.5,,1.93,4.8,26.2,
1.95,4.6,25.3,,1.95,4.2,26.5,,1.95,4.8,26.2,
1.97,4.6,25.3,,1.97,4.2,26.5,,1.97,4.8,26.2,
1.98,4.6,25.3,,1.98,4.2,26.5,,1.98,4.8,26.2,6.5
2.0,4.7,25.3,6.5,2.0,4.2,26.5,,2.0,4.8,26.2,
2.02,4.7,25.3,,2.02,4.2,26.5,,2.02,4.8,26.2,
2.03,4.7,25.3,,2.03,4.2,26.5,,2.03,4.8,26.2,
2.05,4.7,25.3,,2.05,4.2,26.5,,2.05,4.8,26.3,
2.07,4.7,25.3,,2.07,4.2,26.5,,2.07,4.8,26.3,
2.08,4.7,25.3,7.0,2.08,4.2,26.5,,2.08,4.9,26.3,7.0
2.1,4.7,25.3,,2.1,4.5,26.5,5.0,2.1,4.9,26.3,
2.12,4.7,25.3,,2.12,4.5,26.5,,2.12,4.9,26.3,
2.13,4.7,25.3,,2.13,4.5,26.5,,2.13,4.9,26.3,
2.15,4.7,25.3,,2.15,4.5,26.5,,2.15,4.9,26.3,
2.17,4.7,25.3,,2.17,4.5,26.5,,2.17,4.9,26.3,
2.18,4.7,25.3,,2.18,4.5,26.5,,2.18,4.9,26.3,7.5
2.2,4.7,25.3,7.5,2.2,4.5,26.5,,2.2,4.9,26.3,
2.22,4.7,25.3,,2.22,4.5,26.5,,2.22,4.9,26.3,
2.23,4.8,25.3,,2.23,4.5,26.5,,2.23,4.9,26.3,
2.25,4.8,25.3,,2.25,4.5,26.5,,2.25,4.9,26.3,
2.27,4.8,25.3,,2.27,4.5,26.5,,2.27,4.9,26.3,8.0
2.28,4.8,25.4,,2.28,4.5,26.5,,2.28,4.9,26.3,
2.3,4.8,25.4,8.0,2.3,4.5,26.5,,2.3,4.9,26.3,
2.32,4.8,25.4,,2.32,4.5,26.5,,2.32,4.9,26.3,
2.33,4.8,25.4,,2.33,4.5,26.5,,2.33,4.9,26.3,
2.35,4.8,25.4,,2.35,4.5,26.5,,2.35,5.0,26.3,
2.37,4.8,25.4,,2.37,4.5,26.5,,2.37,5.0,26.3,8.5
2.38,4.8,25.4,,2.38,4.5,26.5,5.5,2.38,5.0,26.3,
2.4,4.8,25.4,8.5,2.4,4.6,26.5,,2.4,5.0,26.3,
2.42,4.8,25.4,,2.42,4.6,26.5,,2.42,5.0,26.3,
2.43,4.8,25.4,,2.43,4.6,26.5,,2.43,5.0,26.3,
2.45,4.8,25.4,,2.45,4.6,26.5,,2.45,5.0,26.3,
2.47,4.8,25.4,,2.47,4.6,26.5,,2.47,5.0,26.3,
2.48,4.9,25.4,,2.48,4.6,26.5,,2.48,5.0,26.3,9.0
2.5,4.9,25.4,,2.5,4.6,26.5,,2.5,5.0,26.3,
2.52,4.9,25.4,9.0,2.52,4.6,26.5,6.0,2.52,5.0,26.3,
2.53,4.9,25.4,,2.53,4.6,26.5,,2.53,5.0,26.3,
2.55,4.9,25.4,,2.55,4.6,26.5,,2.55,5.0,26.3,
2.57,4.9,25.4,,2.57,4.6,26.5,,2.57,5.1,26.3,
2.58,4.9,25.4,,2.58,4.6,26.5,,2.58,5.1,26.3,
2.6,4.9,25.4,,2.6,4.6,26.5,,2.6,5.1,26.3,9.5
2.62,4.9,25.4,9.5,2.62,4.6,26.5,,2.62,5.1,26.3,
2.63,4.9,25.4,,2.63,4.6,26.5,,2.63,5.1,26.3,
2.65,4.9,25.4,,2.65,4.6,26.5,,2.65,5.1,26.3,
2.67,4.9,25.4,,2.67,4.6,26.5,,2.67,5.1,26.3,
2.68,4.9,25.4,,2.68,4.6,26.5,,2.68,5.1,26.3,
2.7,4.9,25.4,,2.7,4.6,26.5,,2.7,5.1,26.3,10.0
2.72,4.9,25.4,10.0,2.72,4.6,26.5,,2.72,5.1,26.3,
2.73,4.9,25.4,,2.73,4.6,26.5,,2.73,5.1,26.3,
2.75,5.0,25.4,,2.75,4.6,26.5,6.5,2.75,5.1,26.3,
2.77,5.0,25.4,,2.77,4.7,26.5,,2.77,5.1,26.3,
2.78,5.0,25.4,,2.78,4.7,26.5,,2.78,5.1,26.3,
2.8,5.0,25.4,,2.8,4.7,26.5,,2.8,5.2,26.3,10.5
2.82,5.0,25.4,,2.82,4.7,26.5,,2.82,5.2,26.3,
2.83,5.0,25.4,10.5,2.83,4.7,26.5,,2.83,5.2,26.3,
2.85,5.0,25.4,,2.85,4.7,26.5,,2.85,5.2,26.3,
2.87,5.0,25.4,,2.87,4.7,26.5,7.0,2.87,5.2,26.3,
2.88,5.0,25.4,,2.88,4.7,26.5,,2.88,5.2,26.3,
2.9,5.0,25.4,,2.9,4.7,26.5,,2.9,5.2,26.3,11.0
2.92,5.0,25.4,,2.92,4.7,26.5,,2.92,5.2,26.3,
2.93,5.0,25.4,,2.93,4.7,26.5,,2.93,5.2,26.3,
2.95,5.0,25.4,11.0,2.95,4.7,26.5,,2.95,5.2,26.3,
2.97,5.0,25.4,,2.97,4.7,26.5,,2.97,5.2,26.3,
2.98,5.0,25.4,,2.98,4.7,26.5,7.5,2.98,5.2,26.3,
3.0,5.0,25.4,,3.0,4.7,26.5,,3.0,5.3,26.3,
3.02,5.0,25.4,,3.02,4.8,26.5,,3.02,5.3,26.3,11.5
3.03,5.1,25.4,,3.03,4.8,26.5,,3.03,5.3,26.3,
3.05,5.1,25.4,11.5,3.05,4.8,26.5,,3.05,5.3,26.3,
3.07,5.1,25.4,,3.07,4.8,26.5,,3.07,5.3,26.3,
3.08,5.1,25.4,,3.08,4.8,26.5,,3.08,5.3,26.3,
3.1,5.1,25.4,,3.1,4.8,26.5,,3.1,5.3,26.3,
3.12,5.1,25.4,,3.12,4.8,26.5,8.0,3.12,5.3,26.3,
3.13,5.1,25.4,,3.13,4.8,26.5,,3.13,5.3,26.3,12.0
3.15,5.1,25.4,,3.15,4.8,26.5,,3.15,5.3,26.3,
3.17,5.1,25.4,12.0,3.17,4.8,26.5,,3.17,5.3,26.3,
3.18,5.1,25.4,,3.18,4.8,26.5,,3.18,5.3,26.3,
3.2,5.1,25.4,,3.2,4.8,26.5,,3.2,5.3,26.3,
3.22,5.1,25.4,,3.22,4.8,26.5,8.5,3.22,5.3,26.3,
3.23,5.1,25.4,,3.23,4.8,26.5,,3.23,5.3,26.3,12.5
3.25,5.1,25.4,,3.25,4.8,26.5,,3.25,5.3,26.3,
3.27,5.1,25.4,,3.27,4.9,26.5,,3.27,5.4,26.3,
3.28,5.1,25.4,,3.28,4.9,26.5,,3.28,5.4,26.3,
3.3,5.2,25.4,12.5,3.3,4.9,26.5,,3.3,5.4,26.3,
3.32,5.2,25.4,,3.32,4.9,26.5,,3.32,5.4,26.4,
3.33,5.2,25.4,,3.33,4.9,26.5,,3.33,5.4,26.4,
3.35,5.2,25.4,,3.35,4.9,26.5,,3.35,5.4,26.4,
