Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
12.87,13.1,,12.87,13.1,
12.88,13.1,,12.88,13.1,
12.9,13.1,,12.9,13.1,
12.92,13.1,,12.92,13.1,
12.93,13.1,,12.93,13.1,
12.95,13.1,,12.95,13.1,
12.97,13.1,,12.97,13.1,
12.98,13.1,,12.98,13.1,
13.0,13.1,,13.0,13.1,
13.02,13.1,,13.02,13.1,
13.03,13.1,,13.03,13.1,
13.05,13.1,,13.05,13.1,
13.07,13.1,,13.07,13.1,
13.08,13.1,,13.08,13.1,
13.1,13.1,,13.1,13.1,
13.12,13.1,,13.12,13.1,
13.13,13.1,,13.13,13.1,
13.15,13.1,,13.15,13.1,
13.17,13.1,,13.17,13.1,
13.18,13.1,,13.18,13.1,
13.2,13.1,,13.2,13.1,
13.22,13.1,,13.22,13.1,
13.23,13.1,,13.23,13.1,
13.25,13.1,,13.25,13.1,
13.27,13.1,,13.27,13.1,
13.28,13.1,,13.28,13.1,
13.3,13.1,,13.3,13.1,
13.32,13.1,,13.32,13.1,
13.33,13.1,,13.33,13.1,
13.35,13.1,,13.35,13.1,
13.37,13.1,,13.37,13.1,
13.38,13.1,,13.38,13.1,
13.4,13.1,,13.4,13.1,
13.42,13.1,,13.42,13.1,
13.43,13.1,,13.43,13.1,
13.45,13.1,,13.45,13.1,
13.47,13.1,,13.47,13.1,
13.48,13.1,,13.48,13.1,
13.5,13.1,,13.5,13.1,
13.52,13.1,,13.52,13.1,
13.53,13.1,,13.53,13.1,
13.55,13.1,,13.55,13.1,
13.57,13.1,,13.57,13.1,
13.58,13.1,,13.58,13.1,
13.6,13.1,,13.6,13.1,
13.62,13.1,,13.62,13.1,
13.63,13.1,,13.63,13.1,
13.65,13.1,,13.65,13.1,
13.67,13.1,,13.67,13.1,
13.68,13.1,,13.68,13.1,
13.7,13.1,,13.7,13.1,
13.72,13.1,,13.72,13.1,
13.73,13.1,,13.73,13.1,
13.75,13.1,,13.75,13.1,
13.77,13.1,,13.77,13.1,
13.78,13.1,,13.78,13.1,
13.8,13.1,,13.8,13.1,
13.82,13.1,,13.82,13.1,
13.83,13.1,,13.83,13.1,
13.85,13.1,,13.85,13.1,
13.87,13.1,,13.87,13.1,
13.88,13.1,,13.88,13.1,
13.9,13.1,,13.9,13.1,
13.92,13.1,,13.92,13.1,
13.93,13.1,,13.93,13.1,
13.95,13.1,,13.95,13.1,
13.97,13.1,,13.97,13.1,
13.98,13.1,,13.98,13.1,
14.0,13.1,,14.0,13.1,
14.02,13.1,,14.02,13.1,
14.03,13.1,,14.03,13.1,
14.05,13.1,,14.05,13.1,
14.07,13.1,,14.07,13.1,
14.08,13.1,,14.08,13.1,
14.1,13.1,,14.1,13.1,
14.12,13.1,,14.12,13.1,
14.13,13.1,,14.13,13.1,
14.15,13.2,,14.15,13.1,
14.17,13.2,,14.17,13.1,
14.18,13.2,,14.18,13.1,
14.2,13.2,,14.2,13.1,
14.22,13.2,,14.22,13.1,
14.23,13.2,,14.23,13.1,
14.25,13.2,,14.25,13.2,
14.27,13.2,,14.27,13.2,
14.28,13.2,,14.28,13.2,
14.3,13.2,,14.3,13.2,
14.32,13.2,,14.32,13.2,
14.33,13.2,,14.33,13.2,
14.35,13.2,,14.35,13.2,
14.37,13.2,,14.37,13.2,
14.38,13.2,,14.38,13.2,
14.4,13.2,,14.4,13.2,
14.42,13.2,,14.42,13.2,
14.43,13.2,,14.43,13.2,
14.45,13.2,,14.45,13.2,
14.47,13.2,,14.47,13.2,
14.48,13.2,,14.48,13.2,
14.5,13.2,,14.5,13.2,
14.52,13.2,,14.52,13.2,
14.53,13.2,,14.53,13.2,
14.55,13.2,,14.55,13.2,
14.57,13.2,,14.57,13.2,
14.58,13.2,,14.58,13.2,
14.6,13.2,,14.6,13.2,
14.62,13.2,,14.62,13.2,
14.63,13.2,42.0,14.63,13.2,
14.65,13.2,,14.65,13.2,
14.67,13.2,,14.67,13.2,
14.68,13.2,,14.68,13.2,
14.7,13.2,,14.7,13.2,
14.72,13.2,,14.72,13.2,
14.73,13.2,,14.73,13.2,
14.75,13.2,,14.75,13.2,
14.77,13.2,,14.77,13.2,
14.78,13.2,,14.78,13.2,
14.8,13.2,,14.8,13.2,
14.82,13.2,,14.82,13.2,
14.83,13.2,,14.83,13.2,
14.85,13.2,,14.85,13.2,
14.87,13.2,,14.87,13.2,
14.88,13.2,,14.88,13.2,
14.9,13.2,,14.9,13.2,
14.92,13.2,,14.92,13.2,
14.93,13.2,,14.93,13.2,
14.95,13.2,,14.95,13.2,
14.97,13.2,,14.97,13.2,
14.98,13.2,,14.98,13.2,
15.0,13.2,,15.0,13.2,
