Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
5.2,5.5,25.8,,5.2,25.7,5.5,,5.2,25.7,5.5,
5.22,5.5,25.8,,5.22,25.7,5.5,,5.22,25.7,5.5,
5.23,5.5,25.8,,5.23,25.7,5.5,,5.23,25.7,5.5,
5.25,5.5,25.8,,5.25,25.7,5.5,,5.25,25.7,5.5,
5.27,5.6,25.8,,5.27,25.7,5.5,15.0,5.27,25.7,5.5,15.0
5.28,5.6,25.8,,5.28,25.7,5.5,,5.28,25.7,5.5,
5.3,5.6,25.8,,5.3,25.7,5.5,,5.3,25.7,5.5,
5.32,5.6,25.8,16.0,5.32,25.7,5.5,,5.32,25.7,5.5,
5.33,5.6,25.8,,5.33,25.7,5.5,,5.33,25.7,5.5,
5.35,5.6,25.8,,5.35,25.7,5.5,,5.35,25.7,5.5,
5.37,5.6,25.8,,5.37,25.7,5.5,,5.37,25.7,5.5,
5.38,5.6,25.8,,5.38,25.7,5.5,,5.38,25.7,5.6,
5.4,5.6,25.8,,5.4,25.7,5.5,,5.4,25.7,5.6,
5.42,5.6,25.8,,5.42,25.7,5.5,,5.42,25.7,5.6,
5.43,5.6,25.8,,5.43,25.7,5.6,,5.43,25.7,5.6,
5.45,5.6,25.8,,5.45,25.7,5.6,,5.45,25.7,5.6,
5.47,5.6,25.8,,5.47,25.7,5.6,,5.47,25.7,5.6,
5.48,5.6,25.8,,5.48,25.7,5.6,,5.48,25.7,5.6,
5.5,5.6,25.8,,5.5,25.7,5.6,,5.5,25.7,5.6,
5.52,5.6,25.8,16.5,5.52,25.7,5.6,15.5,5.52,25.7,5.6,15.5
5.53,5.6,25.8,,5.53,25.7,5.6,,5.53,25.7,5.6,
5.55,5.6,25.8,,5.55,25.7,5.6,,5.55,25.7,5.6,
5.57,5.6,25.8,,5.57,25.7,5.6,,5.57,25.7,5.6,
5.58,5.7,25.8,,5.58,25.7,5.6,,5.58,25.7,5.6,
5.6,5.7,25.8,,5.6,25.7,5.6,,5.6,25.7,5.6,
5.62,5.7,25.8,,5.62,25.7,5.6,,5.62,25.7,5.6,
5.63,5.7,25.8,,5.63,25.7,5.6,,5.63,25.7,5.6,
5.65,5.7,25.8,,5.65,25.7,5.6,,5.65,25.7,5.6,
5.67,5.7,25.8,,5.67,25.7,5.6,,5.67,25.7,5.6,
5.68,5.7,25.8,17.0,5.68,25.7,5.6,,5.68,25.7,5.6,
5.7,5.7,25.8,,5.7,25.7,5.6,,5.7,25.7,5.6,
5.72,5.7,25.8,,5.72,25.7,5.6,,5.72,25.7,5.6,
5.73,5.7,25.8,,5.73,25.7,5.6,,5.73,25.7,5.6,
5.75,5.7,25.8,,5.75,25.7,5.6,16.0,5.75,25.7,5.6,16.0
5.77,5.7,25.8,,5.77,25.7,5.6,,5.77,25.7,5.6,
5.78,5.7,25.8,,5.78,25.7,5.6,,5.78,25.7,5.7,
5.8,5.7,25.8,,5.8,25.7,5.7,,5.8,25.7,5.7,
5.82,5.7,25.8,,5.82,25.7,5.7,,5.82,25.7,5.7,
5.83,5.8,25.8,,5.83,25.7,5.7,,5.83,25.7,5.7,
5.85,5.8,25.8,,5.85,25.7,5.7,,5.85,25.7,5.7,
5.87,5.8,25.8,17.5,5.87,25.7,5.7,,5.87,25.7,5.7,
5.88,5.8,25.8,,5.88,25.7,5.7,16.5,5.88,25.7,5.7,16.5
5.9,5.8,25.8,,5.9,25.7,5.7,,5.9,25.7,5.7,
5.92,5.8,25.8,,5.92,25.7,5.7,,5.92,25.7,5.7,
5.93,5.8,25.8,,5.93,25.7,5.7,,5.93,25.7,5.7,
5.95,5.8,25.8,,5.95,25.7,5.7,,5.95,25.7,5.7,
5.97,5.8,25.8,,5.97,25.7,5.7,,5.97,25.7,5.8,
5.98,5.8,25.8,,5.98,25.7,5.8,,5.98,25.7,5.8,
6.0,5.8,25.8,,6.0,25.7,5.8,,6.0,25.7,5.8,
6.02,5.8,25.8,,6.02,25.7,5.8,,6.02,25.7,5.8,
6.03,5.8,25.8,,6.03,25.7,5.8,17.0,6.03,25.7,5.8,17.0
6.05,5.8,25.8,,6.05,25.7,5.8,,6.05,25.7,5.8,
6.07,5.8,25.8,,6.07,25.7,5.8,,6.07,25.7,5.8,
6.08,5.8,25.8,,6.08,25.7,5.8,,6.08,25.7,5.8,
6.1,5.8,25.8,,6.1,25.7,5.8,,6.1,25.7,5.8,
6.12,5.8,25.8,18.0,6.12,25.7,5.8,,6.12,25.7,5.9,
6.13,5.8,25.8,,6.13,25.7,5.8,,6.13,25.7,5.9,
6.15,5.8,25.8,,6.15,25.7,5.9,,6.15,25.7,5.9,
6.17,5.8,25.8,,6.17,25.7,5.9,17.5,6.17,25.7,5.9,17.5
6.18,5.8,25.8,,6.18,25.7,5.9,,6.18,25.7,5.9,
6.2,5.8,25.8,,6.2,25.7,5.9,,6.2,25.7,5.9,
6.22,5.8,25.8,,6.22,25.7,5.9,,6.22,25.7,5.9,
6.23,5.8,25.8,,6.23,25.7,5.9,,6.23,25.7,5.9,
6.25,5.8,25.8,,6.25,25.7,5.9,,6.25,25.7,5.9,
6.27,5.8,25.8,,6.27,25.7,5.9,,6.27,25.7,5.9,
6.28,5.8,25.8,,6.28,25.7,5.9,,6.28,25.7,5.9,
6.3,5.8,25.8,,6.3,25.7,5.9,,6.3,25.7,5.9,
6.32,5.8,25.8,18.5,6.32,25.7,5.9,18.0,6.32,25.7,5.9,18.0
6.33,5.8,25.8,,6.33,25.7,5.9,,6.33,25.7,5.9,
6.35,5.8,25.8,,6.35,25.7,5.9,,6.35,25.7,5.9,
6.37,5.8,25.8,,6.37,25.7,5.9,,6.37,25.7,5.9,
6.38,5.8,25.8,,6.38,25.7,5.9,,6.38,25.7,5.9,
6.4,5.8,25.8,,6.4,25.7,5.9,,6.4,25.7,5.9,
6.42,5.8,25.8,,6.42,25.7,5.9,,6.42,25.7,5.9,
6.43,5.8,25.8,,6.43,25.7,5.9,,6.43,25.7,5.9,
6.45,5.8,25.8,,6.45,25.7,5.9,,6.45,25.7,5.9,
6.47,5.8,25.8,,6.47,25.7,5.9,18.5,6.47,25.7,5.9,18.5
6.48,5.8,25.8,,6.48,25.7,5.9,,6.48,25.7,5.9,
6.5,5.8,25.8,19.0,6.5,25.7,5.9,,6.5,25.7,5.9,
6.52,5.8,25.8,,6.52,25.7,5.9,,6.52,25.7,5.9,
6.53,5.8,25.8,,6.53,25.7,5.9,,6.53,25.7,5.9,
6.55,5.8,25.8,,6.55,25.7,5.9,,6.55,25.7,5.9,
6.57,5.8,25.8,,6.57,25.7,5.9,,6.57,25.7,5.9,
6.58,5.8,25.8,,6.58,25.7,5.9,,6.58,25.7,5.9,
6.6,5.8,25.8,,6.6,25.7,5.9,19.0,6.6,25.7,5.9,19.0
6.62,5.8,25.8,,6.62,25.7,5.9,,6.62,25.7,5.9,
6.63,5.8,25.8,,6.63,25.7,5.9,,6.63,25.7,5.9,
6.65,5.8,25.8,,6.65,25.7,5.9,,6.65,25.7,5.9,
6.67,5.8,25.8,,6.67,25.7,5.9,,6.67,25.7,5.9,
6.68,5.8,25.8,,6.68,25.7,5.9,,6.68,25.7,5.9,
6.7,5.8,25.8,,6.7,25.7,5.9,,6.7,25.7,5.9,
6.72,5.8,25.8,19.5,6.72,25.7,5.9,,6.72,25.7,6.0,
6.73,5.8,25.8,,6.73,25.7,6.0,19.5,6.73,25.7,6.0,19.5
6.75,5.8,25.8,,6.75,25.7,6.0,,6.75,25.7,6.0,
6.77,5.8,25.8,,6.77,25.7,6.0,,6.77,25.7,6.0,
6.78,5.8,25.8,,6.78,25.7,6.1,,6.78,25.7,6.1,
6.8,5.9,25.8,,6.8,25.7,6.1,,6.8,25.7,6.1,
6.82,5.9,25.8,,6.82,25.7,6.1,,6.82,25.7,6.1,
6.83,5.9,25.8,,6.83,25.7,6.1,,6.83,25.7,6.2,
6.85,5.9,25.8,,6.85,25.7,6.2,,6.85,25.7,6.2,
6.87,5.9,25.8,,6.87,25.7,6.2,20.0,6.87,25.7,6.2,20.0
6.88,5.9,25.8,20.0,6.88,25.7,6.2,,6.88,25.7,6.2,
6.9,6.0,25.8,,6.9,25.7,6.3,,6.9,25.7,6.3,
6.92,6.0,25.8,,6.92,25.7,6.3,,6.92,25.7,6.3,
6.93,6.0,25.8,,6.93,25.7,6.4,,6.93,25.7,6.4,
6.95,6.0,25.8,,6.95,25.7,6.4,20.2,6.95,25.7,6.4,20.2
6.97,6.0,25.8,,6.97,25.7,6.5,,6.97,25.7,6.5,
6.98,6.0,25.8,,6.98,25.7,6.5,,6.98,25.7,6.5,
7.0,6.1,25.8,,7.0,25.7,6.6,,7.0,25.7,6.6,
7.02,6.1,25.8,20.2,7.02,25.7,6.7,20.5,7.02,25.7,6.7,20.5
7.03,6.1,25.8,,7.03,25.7,6.7,,7.03,25.7,6.7,
7.05,6.1,25.8,,7.05,25.7,6.8,,7.05,25.7,6.8,
7.07,6.1,25.8,,7.07,25.7,6.9,,7.07,25.7,6.9,
7.08,6.1,25.8,,7.08,25.7,7.0,,7.08,25.7,7.0,
7.1,6.1,25.8,,7.1,25.7,7.1,20.7,7.1,25.7,7.1,20.7
7.12,6.2,25.8,,7.12,25.7,7.3,,7.12,25.7,7.3,
7.13,6.2,25.8,20.5,7.13,25.7,7.4,,7.13,25.7,7.4,
7.15,6.2,25.8,,7.15,25.7,7.5,,7.15,25.7,7.5,
7.17,6.2,25.8,,7.17,25.7,7.7,21.0,7.17,25.7,7.7,21.0
7.18,6.2,25.8,,7.18,25.7,7.9,,7.18,25.7,7.9,
7.2,6.3,25.8,,7.2,25.7,8.1,,7.2,25.7,8.1,
7.22,6.3,25.8,,7.22,25.7,8.4,,7.22,25.7,8.4,
7.23,6.3,25.8,20.7,7.23,25.7,8.7,21.2,7.23,25.7,8.7,21.2
7.25,6.3,25.8,,7.25,25.7,9.0,,7.25,25.7,9.0,
7.27,6.3,25.8,,7.27,25.7,9.4,,7.27,25.7,9.3,
7.28,6.4,25.8,,7.28,25.7,9.7,,7.28,25.7,9.7,
7.3,6.4,25.8,,7.3,25.7,10.0,,7.3,25.7,10.0,
7.32,6.4,25.8,,7.32,25.7,10.3,21.5,7.32,25.7,10.3,21.5
7.33,6.4,25.8,,7.33,25.7,10.5,,7.33,25.7,10.5,
7.35,6.4,25.8,,7.35,25.7,10.7,,7.35,25.7,10.7,
7.37,6.5,25.8,21.0,7.37,25.7,10.9,,7.37,25.7,10.9,
7.38,6.5,25.8,,7.38,25.7,11.0,,7.38,25.7,11.0,
7.4,6.5,25.8,,7.4,25.7,11.1,21.7,7.4,25.7,11.1,21.7
7.42,6.6,25.8,,7.42,25.7,11.2,,7.42,25.7,11.2,
7.43,6.6,25.8,,7.43,25.7,11.2,,7.43,25.7,11.3,
7.45,6.6,25.8,,7.45,25.7,11.3,,7.45,25.7,11.3,
7.47,6.7,25.8,21.2,7.47,25.7,11.3,,7.47,25.7,11.3,
7.48,6.7,25.8,,7.48,25.7,11.4,22.0,7.48,25.7,11.4,22.0
7.5,6.8,25.8,,7.5,25.7,11.4,,7.5,25.7,11.4,
7.52,6.8,25.8,,7.52,25.7,11.4,,7.52,25.7,11.5,
7.53,6.8,25.8,,7.53,25.7,11.5,,7.53,25.7,11.5,
7.55,6.9,25.8,,7.55,25.7,11.5,22.2,7.55,25.7,11.5,22.2
7.57,6.9,25.8,,7.57,25.7,11.5,,7.57,25.7,11.5,
7.58,7.0,25.8,,7.58,25.7,11.5,,7.58,25.7,11.6,
7.6,7.0,25.8,,7.6,25.7,11.6,,7.6,25.7,11.6,
7.62,7.1,25.8,,7.62,25.7,11.6,22.5,7.62,25.7,11.6,22.5
7.63,7.1,25.8,,7.63,25.7,11.6,,7.63,25.7,11.6,
7.65,7.2,25.8,21.5,7.65,25.7,11.6,,7.65,25.7,11.6,
7.67,7.3,25.8,,7.67,25.7,11.6,,7.67,25.7,11.6,
7.68,7.3,25.8,,7.68,25.7,11.7,,7.68,25.7,11.7,
7.7,7.4,25.8,,7.7,25.7,11.7,,7.7,25.7,11.7,
7.72,7.5,25.8,,7.72,25.7,11.7,,7.72,25.7,11.7,
7.73,7.5,25.8,,7.73,25.7,11.7,23.0,7.73,25.7,11.7,23.0
7.75,7.6,25.8,,7.75,25.7,11.7,,7.75,25.7,11.7,
7.77,7.7,25.8,,7.77,25.7,11.7,,7.77,25.7,11.7,
7.78,7.8,25.8,21.7,7.78,25.7,11.7,,7.78,25.7,11.7,
7.8,7.9,25.8,,7.8,25.7,11.8,23.2,7.8,25.7,11.8,23.2
7.82,8.0,25.8,,7.82,25.7,11.8,,7.82,25.7,11.8,
7.83,8.1,25.8,,7.83,25.7,11.8,,7.83,25.7,11.8,
7.85,8.2,25.8,,7.85,25.7,11.8,,7.85,25.7,11.8,
7.87,8.3,25.8,,7.87,25.7,11.8,,7.87,25.7,11.8,
7.88,8.4,25.8,,7.88,25.7,11.8,,7.88,25.7,11.8,
7.9,8.5,25.8,,7.9,25.7,11.8,23.5,7.9,25.7,11.8,23.5
7.92,8.6,25.8,,7.92,25.7,11.8,,7.92,25.7,11.8,
7.93,8.8,25.8,,7.93,25.7,11.8,,7.93,25.7,11.8,
7.95,8.9,25.8,,7.95,25.7,11.9,,7.95,25.7,11.9,
7.97,9.0,25.8,22.0,7.97,25.7,11.9,,7.97,25.7,11.9,
7.98,9.1,25.8,,7.98,25.7,11.9,,7.98,25.7,11.9,
8.0,9.2,25.8,,8.0,25.7,11.9,,8.0,25.7,11.9,
8.02,9.3,25.8,,8.02,25.7,11.9,,8.02,25.7,11.9,
8.03,9.4,25.8,,8.03,25.7,11.9,,8.03,25.7,11.9,
8.05,9.5,25.8,,8.05,25.7,11.9,,8.05,25.7,11.9,
8.07,9.6,25.8,,8.07,25.7,11.9,,8.07,25.7,11.9,
8.08,9.7,25.8,,8.08,25.7,11.9,24.0,8.08,25.7,11.9,24.0
8.1,9.8,25.8,,8.1,25.7,11.9,,8.1,25.7,12.0,
8.12,9.9,25.8,22.2,8.12,25.7,11.9,,8.12,25.7,12.0,
8.13,9.9,25.8,,8.13,25.7,12.0,,8.13,25.7,12.0,
8.15,10.0,25.8,,8.15,25.7,12.0,,8.15,25.7,12.0,
8.17,10.1,25.8,,8.17,25.7,12.0,,8.17,25.7,12.0,
8.18,10.2,25.8,,8.18,25.7,12.0,,8.18,25.7,12.0,
8.2,10.2,25.8,,8.2,25.7,12.0,,8.2,25.7,12.0,
8.22,10.3,25.8,,8.22,25.7,12.0,24.5,8.22,25.7,12.0,24.5
8.23,10.3,25.8,22.5,8.23,25.7,12.0,,8.23,25.7,12.0,
8.25,10.4,25.8,,8.25,25.7,12.0,,8.25,25.7,12.0,
8.27,10.5,25.8,,8.27,25.7,12.0,,8.27,25.7,12.0,
8.28,10.5,25.8,,8.28,25.7,12.0,,8.28,25.7,12.0,
8.3,10.5,25.8,,8.3,25.7,12.0,,8.3,25.7,12.0,
8.32,10.6,25.8,,8.32,25.7,12.0,,8.32,25.7,12.0,
8.33,10.6,25.8,,8.33,25.7,12.0,,8.33,25.7,12.0,
8.35,10.7,25.8,22.7,8.35,25.7,12.0,,8.35,25.7,12.0,
8.37,10.7,25.8,,8.37,25.7,12.0,25.0,8.37,25.7,12.0,25.0
8.38,10.7,25.8,,8.38,25.7,12.1,,8.38,25.7,12.1,
8.4,10.8,25.8,,8.4,25.7,12.1,,8.4,25.7,12.1,
8.42,10.8,25.8,,8.42,25.7,12.1,,8.42,25.7,12.1,
8.43,10.9,25.8,,8.43,25.7,12.1,,8.43,25.7,12.1,
8.45,10.9,25.8,,8.45,25.7,12.1,,8.45,25.7,12.1,
8.47,10.9,25.8,,8.47,25.7,12.1,,8.47,25.7,12.1,
8.48,10.9,25.8,,8.48,25.7,12.1,,8.48,25.7,12.1,
8.5,10.9,25.7,,8.5,25.7,12.1,,8.5,25.7,12.1,
8.52,11.0,25.7,23.0,8.52,25.7,12.1,,8.52,25.7,12.1,
8.53,11.0,25.7,,8.53,25.7,12.1,25.5,8.53,25.7,12.1,25.5
8.55,11.0,25.7,,8.55,25.7,12.1,,8.55,25.7,12.1,
8.57,11.1,25.7,,8.57,25.7,12.1,,8.57,25.7,12.1,
8.58,11.1,25.7,,8.58,25.7,12.1,,8.58,25.7,12.1,
8.6,11.1,25.7,,8.6,25.7,12.1,,8.6,25.7,12.1,
8.62,11.1,25.7,,8.62,25.6,12.1,,8.62,25.6,12.1,
8.63,11.1,25.7,,8.63,25.6,12.1,,8.63,25.6,12.1,
8.65,11.2,25.7,23.5,8.65,25.6,12.1,,8.65,25.6,12.1,
8.67,11.2,25.7,,8.67,25.6,12.1,,8.67,25.6,12.1,
8.68,11.3,25.7,,8.68,25.6,12.1,26.0,8.68,25.6,12.1,26.0
8.7,11.3,25.7,,8.7,25.6,12.1,,8.7,25.6,12.1,
8.72,11.3,25.7,,8.72,25.6,12.2,,8.72,25.6,12.2,
8.73,11.4,25.7,24.0,8.73,25.6,12.2,,8.73,25.6,12.2,
8.75,11.4,25.7,,8.75,25.6,12.2,,8.75,25.6,12.2,
8.77,11.4,25.7,,8.77,25.6,12.2,,8.77,25.6,12.2,
8.78,11.5,25.7,,8.78,25.6,12.2,,8.78,25.6,12.2,
8.8,11.5,25.7,,8.8,25.6,12.2,,8.8,25.6,12.2,
8.82,11.5,25.7,,8.82,25.6,12.2,,8.82,25.6,12.2,
8.83,11.5,25.7,24.5,8.83,25.6,12.2,,8.83,25.6,12.2,
8.85,11.6,25.7,,8.85,25.6,12.2,,8.85,25.6,12.2,
8.87,11.6,25.7,,8.87,25.6,12.2,26.5,8.87,25.6,12.2,26.5
8.88,11.6,25.7,,8.88,25.6,12.2,,8.88,25.6,12.2,
8.9,11.6,25.7,,8.9,25.6,12.2,,8.9,25.6,12.2,
8.92,11.6,25.7,25.0,8.92,25.6,12.2,,8.92,25.6,12.2,
8.93,11.7,25.7,,8.93,25.6,12.2,,8.93,25.6,12.2,
8.95,11.7,25.7,,8.95,25.6,12.2,,8.95,25.6,12.2,
8.97,11.7,25.7,,8.97,25.6,12.2,,8.97,25.6,12.2,
8.98,11.7,25.7,,8.98,25.6,12.2,,8.98,25.6,12.2,
9.0,11.7,25.7,,9.0,25.6,12.2,,9.0,25.6,12.2,
9.02,11.7,25.7,,9.02,25.6,12.2,,9.02,25.6,12.2,
9.03,11.8,25.7,25.5,9.03,25.6,12.2,,9.03,25.6,12.2,
9.05,11.8,25.7,,9.05,25.6,12.2,,9.05,25.6,12.2,
9.07,11.8,25.7,,9.07,25.6,12.2,,9.07,25.6,12.2,
9.08,11.8,25.7,,9.08,25.6,12.2,,9.08,25.6,12.2,
9.1,11.8,25.7,,9.1,25.6,12.2,,9.1,25.6,12.2,
9.12,11.8,25.7,,9.12,25.6,12.2,27.0,9.12,25.6,12.2,27.0
9.13,11.8,25.7,26.0,9.13,25.6,12.2,,9.13,25.6,12.2,
9.15,11.8,25.7,,9.15,25.6,12.2,,9.15,25.6,12.2,
9.17,11.9,25.7,,9.17,25.6,12.2,,9.17,25.6,12.3,
9.18,11.9,25.7,,9.18,25.6,12.3,,9.18,25.6,12.3,
9.2,11.9,25.7,,9.2,25.6,12.3,,9.2,25.6,12.3,
9.22,11.9,25.7,26.5,9.22,25.6,12.3,,9.22,25.6,12.3,
9.23,11.9,25.7,,9.23,25.6,12.3,,9.23,25.6,12.3,
9.25,11.9,25.7,,9.25,25.6,12.3,,9.25,25.6,12.3,
9.27,11.9,25.7,,9.27,25.6,12.3,27.5,9.27,25.6,12.3,27.5
9.28,11.9,25.7,,9.28,25.6,12.3,,9.28,25.6,12.3,
9.3,11.9,25.7,,9.3,25.6,12.3,,9.3,25.6,12.3,
9.32,11.9,25.7,27.0,9.32,25.6,12.3,,9.32,25.6,12.3,
9.33,11.9,25.7,,9.33,25.6,12.3,,9.33,25.6,12.3,
9.35,12.0,25.7,,9.35,25.6,12.3,,9.35,25.6,12.3,
9.37,12.0,25.7,,9.37,25.6,12.3,,9.37,25.6,12.3,
9.38,12.0,25.7,,9.38,25.6,12.3,,9.38,25.6,12.3,
9.4,12.0,25.7,,9.4,25.6,12.3,28.0,9.4,25.6,12.3,28.0
9.42,12.0,25.7,27.5,9.42,25.6,12.3,,9.42,25.6,12.3,
9.43,12.0,25.7,,9.43,25.6,12.3,,9.43,25.6,12.3,
9.45,12.0,25.7,,9.45,25.6,12.3,,9.45,25.6,12.3,
9.47,12.0,25.7,,9.47,25.6,12.3,,9.47,25.6,12.3,
9.48,12.0,25.7,28.0,9.48,25.6,12.3,,9.48,25.6,12.3,
9.5,12.0,25.7,,9.5,25.6,12.3,,9.5,25.6,12.3,
9.52,12.0,25.7,,9.52,25.6,12.3,,9.52,25.6,12.3,
9.53,12.0,25.7,,9.53,25.6,12.3,,9.53,25.6,12.3,
9.55,12.0,25.7,,9.55,25.6,12.3,,9.55,25.6,12.3,
9.57,12.0,25.7,28.5,9.57,25.6,12.3,28.5,9.57,25.6,12.3,28.5
9.58,12.1,25.7,,9.58,25.6,12.3,,9.58,25.6,12.3,
9.6,12.1,25.7,,9.6,25.6,12.3,,9.6,25.6,12.3,
9.62,12.1,25.7,,9.62,25.6,12.3,,9.62,25.6,12.3,
9.63,12.1,25.7,,9.63,25.6,12.3,,9.63,25.6,12.3,
9.65,12.1,25.7,,9.65,25.6,12.3,,9.65,25.6,12.3,
9.67,12.1,25.7,29.0,9.67,25.6,12.3,,9.67,25.6,12.3,
9.68,12.1,25.7,,9.68,25.6,12.3,,9.68,25.6,12.3,
9.7,12.1,25.7,,9.7,25.6,12.3,,9.7,25.6,12.3,
9.72,12.1,25.7,,9.72,25.6,12.3,,9.72,25.6,12.3,
9.73,12.1,25.7,,9.73,25.6,12.3,29.0,9.73,25.6,12.3,29.0
9.75,12.1,25.7,29.5,9.75,25.6,12.3,,9.75,25.6,12.3,
9.77,12.1,25.7,,9.77,25.6,12.3,,9.77,25.6,12.3,
9.78,12.1,25.7,,9.78,25.6,12.3,,9.78,25.6,12.3,
9.8,12.1,25.7,,9.8,25.6,12.3,,9.8,25.6,12.4,
9.82,12.1,25.7,,9.82,25.6,12.4,,9.82,25.6,12.4,
9.83,12.1,25.7,,9.83,25.6,12.4,,9.83,25.6,12.4,
9.85,12.1,25.7,,9.85,25.6,12.4,,9.85,25.6,12.4,
9.87,12.1,25.7,30.0,9.87,25.6,12.4,,9.87,25.6,12.4,
9.88,12.1,25.7,,9.88,25.6,12.4,,9.88,25.6,12.4,
9.9,12.2,25.6,,9.9,25.6,12.4,,9.9,25.6,12.4,
9.92,12.2,25.6,,9.92,25.6,12.4,29.5,9.92,25.6,12.4,29.5
9.93,12.2,25.6,,9.93,25.6,12.4,,9.93,25.6,12.4,
9.95,12.2,25.6,,9.95,25.6,12.4,,9.95,25.6,12.4,
9.97,12.2,25.6,30.5,9.97,25.6,12.4,,9.97,25.6,12.4,
9.98,12.2,25.6,,9.98,25.6,12.4,,9.98,25.6,12.4,
10.0,12.2,25.6,,10.0,25.6,12.4,,10.0,25.6,12.4,
10.02,12.2,25.6,,10.02,25.6,12.4,,10.02,25.6,12.4,
10.03,12.2,25.6,,10.03,25.6,12.4,,10.03,25.6,12.4,
10.05,12.2,25.6,,10.05,25.6,12.4,,10.05,25.6,12.4,
10.07,12.2,25.6,31.0,10.07,25.6,12.4,,10.07,25.6,12.4,
10.08,12.2,25.6,,10.08,25.6,12.4,,10.08,25.6,12.4,
10.1,12.2,25.6,,10.1,25.6,12.4,30.0,10.1,25.6,12.4,30.0
10.12,12.2,25.6,,10.12,25.6,12.4,,10.12,25.6,12.4,
10.13,12.2,25.6,,10.13,25.6,12.4,,10.13,25.6,12.4,
10.15,12.2,25.6,,10.15,25.6,12.4,,10.15,25.6,12.4,
10.17,12.2,25.6,31.5,10.17,25.6,12.4,,10.17,25.6,12.4,
10.18,12.2,25.6,,10.18,25.6,12.4,,10.18,25.6,12.4,
10.2,12.2,25.6,,10.2,25.6,12.4,,10.2,25.6,12.4,
10.22,12.2,25.6,,10.22,25.6,12.4,,10.22,25.6,12.4,
10.23,12.2,25.6,,10.23,25.6,12.4,,10.23,25.6,12.4,
10.25,12.2,25.6,,10.25,25.6,12.4,,10.25,25.6,12.4,
10.27,12.2,25.6,,10.27,25.6,12.4,,10.27,25.6,12.4,
10.28,12.2,25.6,32.0,10.28,25.6,12.4,,10.28,25.6,12.4,
10.3,12.2,25.6,,10.3,25.6,12.4,,10.3,25.6,12.4,
10.32,12.2,25.6,,10.32,25.6,12.4,30.5,10.32,25.6,12.4,30.5
10.33,12.2,25.6,,10.33,25.6,12.4,,10.33,25.6,12.4,
10.35,12.3,25.6,,10.35,25.6,12.4,,10.35,25.6,12.4,
10.37,12.3,25.6,,10.37,25.6,12.4,,10.37,25.6,12.4,
10.38,12.3,25.6,32.5,10.38,25.6,12.4,,10.38,25.6,12.4,
10.4,12.3,25.6,,10.4,25.6,12.4,,10.4,25.6,12.4,
10.42,12.3,25.6,,10.42,25.5,12.4,,10.42,25.5,12.4,
10.43,12.3,25.6,,10.43,25.6,12.4,,10.43,25.6,12.5,
10.45,12.3,25.6,,10.45,25.5,12.4,,10.45,25.5,12.5,
10.47,12.3,25.6,,10.47,25.5,12.4,,10.47,25.5,12.5,
10.48,12.3,25.6,,10.48,25.5,12.4,,10.48,25.5,12.5,
10.5,12.3,25.6,,10.5,25.5,12.4,,10.5,25.5,12.5,
10.52,12.3,25.6,,10.52,25.5,12.4,,10.52,25.5,12.5,
10.53,12.3,25.6,,10.53,25.5,12.4,,10.53,25.5,12.5,
10.55,12.3,25.6,,10.55,25.5,12.4,,10.55,25.5,12.5,
10.57,12.3,25.6,,10.57,25.5,12.4,,10.57,25.5,12.5,
10.58,12.3,25.6,,10.58,25.5,12.4,,10.58,25.5,12.5,
10.6,12.3,25.6,,10.6,25.5,12.4,,10.6,25.5,12.5,
10.62,12.3,25.6,,10.62,25.5,12.4,,10.62,25.5,12.5,
10.63,12.3,25.6,,10.63,25.5,12.4,,10.63,25.5,12.5,
10.65,12.3,25.6,,10.65,25.5,12.4,,10.65,25.5,12.5,
10.67,12.3,25.6,,10.67,25.5,12.4,,10.67,25.5,12.5,
10.68,12.3,25.6,,10.68,25.5,12.4,,10.68,25.5,12.5,
10.7,12.3,25.6,,10.7,25.5,12.4,,10.7,25.5,12.5,
10.72,12.3,25.6,,10.72,25.5,12.4,,10.72,25.5,12.5,
10.73,12.3,25.6,,10.73,25.5,12.4,,10.73,25.5,12.5,
10.75,12.3,25.6,,10.75,25.5,12.5,,10.75,25.5,12.5,
10.77,12.3,25.6,,10.77,25.5,12.5,,10.77,25.5,12.5,
10.78,12.3,25.6,,10.78,25.5,12.5,,10.78,25.5,12.5,
10.8,12.3,25.6,,10.8,25.5,12.5,,10.8,25.5,12.5,
10.82,12.3,25.6,,10.82,25.5,12.5,,10.82,25.5,12.5,
10.83,12.3,25.6,,10.83,25.5,12.5,,10.83,25.5,12.5,
10.85,12.3,25.6,,10.85,25.5,12.5,,10.85,25.5,12.5,
10.87,12.3,25.6,,10.87,25.5,12.5,,10.87,25.5,12.5,
10.88,12.3,25.6,,10.88,25.5,12.5,,10.88,25.5,12.5,
10.9,12.3,25.6,,10.9,25.5,12.5,,10.9,25.5,12.5,
