Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
1.22,3.8,25.6,,1.22,25.7,3.9,,1.22,25.7,3.9,
1.23,3.8,25.6,3.0,1.23,25.7,3.9,,1.23,25.7,3.9,
1.25,3.8,25.6,,1.25,25.7,3.9,,1.25,25.7,3.9,
1.27,3.8,25.6,,1.27,25.7,3.9,,1.27,25.7,3.9,
1.28,3.9,25.7,,1.28,25.7,3.9,3.5,1.28,25.7,3.9,3.5
1.3,3.9,25.7,,1.3,25.7,3.9,,1.3,25.7,3.9,
1.32,3.9,25.7,,1.32,25.7,3.9,,1.32,25.7,3.9,
1.33,3.9,25.7,,1.33,25.7,3.9,,1.33,25.7,3.9,
1.35,3.9,25.7,,1.35,25.7,3.9,,1.35,25.7,3.9,
1.37,3.9,25.7,,1.37,25.7,4.0,,1.37,25.7,3.9,
1.38,3.9,25.7,,1.38,25.7,4.0,,1.38,25.7,4.0,
1.4,3.9,25.7,3.5,1.4,25.7,4.0,,1.4,25.7,4.0,
1.42,3.9,25.7,,1.42,25.7,4.0,,1.42,25.7,4.0,
1.43,3.9,25.7,,1.43,25.7,4.0,,1.43,25.7,4.0,
1.45,3.9,25.7,,1.45,25.7,4.0,,1.45,25.7,4.0,
1.47,3.9,25.7,,1.47,25.7,4.4,4.0,1.47,25.7,4.4,4.0
1.48,4.0,25.7,,1.48,25.7,4.4,,1.48,25.7,4.4,
1.5,4.0,25.7,,1.5,25.7,4.4,,1.5,25.7,4.4,
