Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: pH (±0.3 pH),Run 2: Temperature (°C) (±0.1°C),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: pH (±0.3 pH),Run 3: Temperature (°C) (±0.1°C),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
0.0,3.4,25.4,0.0,0.0,3.3,25.0,0.0,0.0,3.4,25.4,0.0
0.02,3.4,25.4,,0.02,3.3,25.0,,0.02,3.4,25.4,
0.03,3.4,25.4,,0.03,3.3,25.0,,0.03,3.4,25.4,
0.05,3.4,25.4,,0.05,3.3,25.0,,0.05,3.4,25.4,
0.07,3.4,25.4,,0.07,3.3,25.0,,0.07,3.4,25.4,
0.08,3.4,25.4,,0.08,3.3,25.0,,0.08,3.4,25.4,
0.1,3.4,25.4,,0.1,3.3,25.0,,0.1,3.4,25.4,
0.12,3.4,25.4,,0.12,3.3,25.0,,0.12,3.4,25.4,
0.13,3.4,25.4,,0.13,3.3,25.0,,0.13,3.4,25.4,
0.15,3.4,25.4,,0.15,3.3,25.0,,0.15,3.4,25.4,
0.17,3.4,25.4,,0.17,3.3,25.0,,0.17,3.4,25.4,
0.18,3.4,25.4,,0.18,3.3,24.9,,0.18,3.4,25.4,
0.2,3.4,25.4,,0.2,3.4,24.9,,0.2,3.4,25.4,
0.22,3.4,25.4,,0.22,3.4,25.1,,0.22,3.4,25.4,
0.23,3.4,25.4,,0.23,3.4,25.1,,0.23,3.4,25.4,
0.25,3.4,25.4,,0.25,3.4,25.2,,0.25,3.4,25.4,
0.27,3.4,25.4,,0.27,3.4,25.2,,0.27,3.4,25.4,
0.28,3.4,25.4,,0.28,3.4,25.3,,0.28,3.4,25.4,
0.3,3.4,25.4,,0.3,3.4,25.3,,0.3,3.4,25.4,
0.32,3.4,25.4,,0.32,3.4,25.3,,0.32,3.4,25.4,
0.33,3.4,25.4,,0.33,3.4,25.3,,0.33,3.4,25.4,
0.35,3.4,25.4,,0.35,3.4,25.3,,0.35,3.4,25.4,
0.37,3.4,25.4,,0.37,3.4,25.3,,0.37,3.4,25.4,
0.38,3.4,25.4,,0.38,3.4,25.3,,0.38,3.4,25.4,
0.4,3.4,25.4,,0.4,3.4,25.3,,0.4,3.4,25.4,
0.42,3.4,25.4,,0.42,3.4,25.3,,0.42,3.4,25.4,
0.43,3.4,25.4,,0.43,3.4,25.3,,0.43,3.4,25.4,
0.45,3.4,25.4,,0.45,3.4,25.3,,0.45,3.4,25.4,
0.47,3.4,25.4,,0.47,3.4,25.3,,0.47,3.4,25.4,
0.48,3.4,25.4,0.5,0.48,3.4,25.3,,0.48,3.4,25.4,0.5
0.5,3.5,25.4,,0.5,3.4,25.3,,0.5,3.5,25.4,
0.52,3.5,25.4,,0.52,3.4,25.3,,0.52,3.5,25.4,
0.53,3.6,25.4,,0.53,3.4,25.3,,0.53,3.6,25.4,
0.55,3.6,25.4,,0.55,3.4,25.3,,0.55,3.6,25.4,
0.57,3.7,25.4,,0.57,3.4,25.3,,0.57,3.7,25.4,
