Run 1: Time (min),Run 1: pH,Run 1: Temperature (°C),Run 1: Volume of NaOH Added (cm^3)
0.0,3.58452233735,25.3930945406,0.0
0.0166666666667,3.58481983834,25.3959930482,
0.0333333333333,3.58511733933,25.3901960299,
0.05,3.58600984231,25.3843989988,
0.0666666666667,3.58600984231,25.380051217,
0.0833333333333,3.58749734727,25.3786019547,
0.1,3.58749734727,25.3771526917,
0.116666666667,3.58749734727,25.3757034278,
0.133333333333,3.58749734727,25.3757034278,
0.15,3.58749734727,25.3757034278,
0.166666666667,3.58779484826,25.3757034278,
0.183333333333,3.58779484826,25.3742541631,
0.2,3.58868735124,25.3742541631,
0.216666666667,3.58868735124,25.3742541631,
0.233333333333,3.58868735124,25.3742541631,
0.25,3.58868735124,25.3742541631,
0.266666666667,3.58868735124,25.3728048975,
0.283333333333,3.58868735124,25.3699063639,
0.3,3.58868735124,25.3684570958,
0.316666666667,3.58898485223,25.3699063639,
0.333333333333,3.58898485223,25.3684570958,
0.35,3.58898485223,25.3612107428,
0.366666666667,3.58928235322,25.3612107428,
0.383333333333,3.58957985421,25.3612107428,
0.4,3.58957985421,25.3583121956,
0.416666666667,3.58957985421,25.3554136449,
0.433333333333,3.59076985818,25.3554136449,
0.45,3.60088489191,25.3525150908,
0.466666666667,3.64997255559,25.3539643683,
0.483333333333,3.65770758138,25.3525150908,
0.5,3.67228512999,25.3525150908,
0.516666666667,3.68954018753,25.3539643683,0.5
0.533333333333,3.71423276987,25.3539643683,
0.55,3.74309036609,25.3539643683,
0.566666666667,3.76302293256,25.3539643683,
0.583333333333,3.77908798613,25.3539643683,
0.6,3.80080555855,25.3539643683,
0.616666666667,3.82401063592,25.3539643683,
0.633333333333,3.83918318652,25.3539643683,
0.65,3.86179326191,25.3539643683,
0.666666666667,3.88291583234,25.3539643683,
0.683333333333,3.90136089385,25.3525150908,
0.7,3.92099595932,25.3539643683,
0.716666666667,3.93497850595,25.3539643683,1.0
0.733333333333,3.95282856547,25.3525150908,
0.75,3.97157112796,25.3554136449,
0.766666666667,3.98823118352,25.3525150908,
0.783333333333,4.00667624502,25.3525150908,
0.8,4.01976628867,25.3539643683,
0.816666666667,4.03999635613,25.3525150908,
0.833333333333,4.04981388887,25.3525150908,
0.85,4.06766394839,25.3525150908,1.5
0.866666666667,4.08462150493,25.3510658125,
0.883333333333,4.09265403172,25.3510658125,
0.9,4.1081240833,25.3510658125,
0.916666666667,4.12627164381,25.3510658125,
0.933333333333,4.14352670135,25.3510658125,
0.95,4.15721174698,25.3510658125,
0.966666666667,4.1640542698,25.3510658125,
0.983333333333,4.17773931543,25.3510658125,
1.0,4.18963935511,25.3510658125,
1.01666666667,4.19826688388,25.3510658125,2.0
1.03333333333,4.21195192952,25.3510658125,
1.05,4.22295946622,25.3510658125,
1.06666666667,4.23515700689,25.3481672531,
1.08333333333,4.24170202872,25.3496165332,
1.1,4.25508957336,25.3481672531,
1.11666666667,4.26877461899,25.3481672531,
1.13333333333,4.27769964875,25.3467179721,
1.15,4.28840968446,25.3438194074,
1.16666666667,4.29792971621,25.3452686902,
1.18333333333,4.30834225093,25.3409208392,
1.2,4.31637477771,25.3409208392,2.5
1.21666666667,4.3279773164,25.3423701237,
1.23333333333,4.33630734418,25.3409208392,
1.25,4.34880238584,25.3380222674,
1.26666666667,4.35296739973,25.3394715537,
1.28333333333,4.36516494041,25.3394715537,
1.3,4.37230496421,25.3380222674,
1.31666666667,4.38093249298,25.3394715537,
1.33333333333,4.38837001778,25.3438194074,
1.35,4.39670004556,25.3438194074,
1.36666666667,4.40532757433,25.3423701237,3.0
1.38333333333,4.41306260012,25.3423701237,
1.4,4.42258263187,25.3438194074,
1.41666666667,4.42912765369,25.3423701237,
1.43333333333,4.43954018841,25.3423701237,
1.45,4.44340770131,25.3394715537,
1.46666666667,4.45263023206,25.3394715537,
1.48333333333,4.46185276281,25.3380222674,
1.5,4.46631527769,25.3380222674,
1.51666666667,4.4734553015,25.3351236919,3.5
1.53333333333,4.48119032729,25.3336744029,
1.55,4.492197864,25.3365729801,
1.56666666667,4.49695787987,25.3351236919,
1.58333333333,4.50201539673,25.3336744029,
1.6,4.50975042253,25.3351236919,
1.61666666667,4.5183779513,25.3351236919,
1.63333333333,4.52313796717,25.3293265302,
1.65,4.53265799891,25.3293265302,
1.66666666667,4.53741801478,25.3293265302,
1.68333333333,4.54098802669,25.3293265302,
1.7,4.5481280505,25.3293265302,
1.71666666667,4.55407807034,25.3278772374,
1.73333333333,4.56032559117,25.3278772374,
1.75,4.56984562291,25.3278772374,
1.76666666667,4.57549814176,25.3278772374,
1.78333333333,4.57996065664,25.3264279438,4.0
1.8,4.58442317152,25.3235293537,
1.81666666667,4.59364570228,25.3235293537,
1.83333333333,4.59900072013,25.3206307599,
1.85,4.60316573402,25.3220800573,
1.86666666667,4.61298326676,25.3206307599,
1.88333333333,4.61744578164,25.3191814616,
1.9,4.61982578957,25.3206307599,4.5
1.91666666667,4.62696581338,25.314833561,
1.93333333333,4.63440333818,25.3119349559,
1.95,4.63648584513,25.3162828622,
1.96666666667,4.6448158729,25.313384259,
1.98333333333,4.65076589274,25.3119349559,
2.0,4.65433590465,25.3162828622,
2.01666666667,4.65939342151,25.313384259,
2.03333333333,4.66712844731,25.314833561,
2.05,4.67397097012,25.313384259,
2.06666666667,4.67664847905,25.3119349559,5.0
2.08333333333,4.68349100187,25.3119349559,
2.1,4.68884601972,25.3119349559,
2.11666666667,4.6933085346,25.310485652,
2.13333333333,4.69658104551,25.310485652,
